,train,val,test
0,tcga_TCGA-G8-6326,tcga_TCGA-GS-A9TY,tcga_TCGA-G8-6325
1,tcga_TCGA-FM-8000,tcga_TCGA-FA-A7Q1,tcga_TCGA-GS-A9TW
2,tcga_TCGA-G8-6906,tcga_TCGA-GR-A4D6,tcga_TCGA-GS-A9U4
3,tcga_TCGA-FF-8041,tcga_TCGA-GS-A9TT,tcga_TCGA-FA-A6HO
4,tcga_TCGA-RQ-A68N,nanchang_1396455B01#1_4,tcga_TCGA-FA-A4BB
5,tcga_TCGA-GS-A9TX,nanchang_1396455B02#1_5,morph_26843_0
6,tcga_TCGA-FA-A6HN,nanchang_1396455B02#1_6,morph_13973_1
7,tcga_TCGA-G8-6324,nanchang_1396455B03#1_7,morph_26835_0
8,tcga_TCGA-FF-8043,nanchang_1396455B04#1_8,morph_13961_0
9,tcga_TCGA-FF-8047,nanchang_1396455B05#1_9,morph_13978_1
10,tcga_TCGA-G8-6909,nanchang_1396455B06#1_10,morph_13978_0
11,tcga_TCGA-GR-7353,nanchang_1412190C01,morph_19681_0
12,tcga_TCGA-FF-8046,nanchang_1412190C02,morph_13973_0
13,tcga_TCGA-RQ-AAAT,nanchang_1412190C03,morph_26821_0
14,tcga_TCGA-GR-7351,nanchang_1412190C04,morph_19672_0
15,tcga_TCGA-FA-8693,nanchang_1412190C05,morph_13961_1
16,tcga_TCGA-FA-A7DS,nanchang_1412190C06,morph_19689_0
17,tcga_TCGA-G8-6907,nanchang_1412190C07,morph_18835_0
18,tcga_TCGA-GR-A4D9,nanchang_1412190C08,morph_26811_0
19,tcga_TCGA-GS-A9TQ,nanchang_1459142A01#16_5,morph_19677_0
20,tcga_TCGA-GS-A9TU,nanchang_1459142A02#16_6,morph_19684_0
21,tcga_TCGA-GS-A9TV,nanchang_1459142A03#16_7,morph_26798_0
22,tcga_TCGA-FF-8061,nanchang_1459142A04#16_8,morph_26820_0
23,tcga_TCGA-GR-A4D4,nanchang_1459142A05#16_9,morph_13973_2
24,tcga_TCGA-G8-6914,nanchang_1459142A06#16_10,morph_13960_0
25,tcga_TCGA-GR-A4D5,nanchang_1459142A07#16_11,morph_26793_0
26,tcga_TCGA-RQ-A6JB,nanchang_1459142A08#16_12,
27,tcga_TCGA-FA-A82F,nanchang_1459142A09#16_13,
28,tcga_TCGA-GS-A9U3,nanchang_1459142A10#16_14,
29,tcga_TCGA-FA-A4XK,nanchang_1459142A11#16_15,
30,nanchang_1375314A01#3_1,nanchang_1459142A12#16_16,
31,nanchang_1375314A02#3_2,morph_26807_0,
32,nanchang_1375314A03#3_3,morph_18843_1,
33,nanchang_1375314A04#3_4,morph_18847_0,
34,nanchang_1375314A05#3_5,morph_26817_0,
35,nanchang_1375314A06#3_6,morph_19694_0,
36,nanchang_1375314A07#3_7,morph_18827_2,
37,nanchang_1375314A08#3_8,morph_18847_6,
38,nanchang_1386008A01#3_9,morph_18847_8,
39,nanchang_1386008A02#3_10,morph_13952_1,
40,nanchang_1386008A03#3_11,morph_18847_9,
41,nanchang_1386008A04#3_12,morph_18843_0,
42,nanchang_1386008A05#3_13,morph_18827_0,
43,nanchang_1386008A06#3_14,morph_18847_4,
44,nanchang_1386008A07#3_15,morph_26838_0,
45,nanchang_1386008A08#3_16,morph_18847_1,
46,nanchang_1386008A09#3_17,morph_26806_0,
47,nanchang_1386008A10#3_18,morph_26832_0,
48,nanchang_1390316A01#3_19,morph_18847_10,
49,nanchang_1390316A02#3_20,morph_18847_5,
50,nanchang_1390316A03#2_1,morph_26814_0,
51,nanchang_1394025A01#2_2,morph_18844_0,
52,nanchang_1394025A02#2_3,morph_13952_0,
53,nanchang_1394025A03#2_4,morph_26829_0,
54,nanchang_1394025A04#2_5,morph_18847_7,
55,nanchang_1394025A05#2_6,morph_18827_1,
56,nanchang_1394025A06#2_7,morph_26808_0,
57,nanchang_1394025A07#2_8,morph_18847_2,
58,nanchang_1394025A08#2_9,morph_19680_0,
59,nanchang_1394025A09#2_10,morph_18847_3,
60,nanchang_1394025A10#2_11,,
61,nanchang_1394250C01#2_12,,
62,nanchang_1394250C02#2_13,,
63,nanchang_1394250C03#2_14,,
64,nanchang_1394250C04#2_15,,
65,nanchang_1394250C05#2_16,,
66,nanchang_1394250C06#2_17,,
67,nanchang_1394250C07#2_18,,
68,nanchang_1394250C08#2_19,,
69,nanchang_1394931A01#2_20,,
70,nanchang_1394931A02#1_1,,
71,nanchang_1394931A03#1_2,,
72,nanchang_1394931A04#1_3,,
73,nanchang_1420083A01#18_2,,
74,nanchang_1420083A02#18_3,,
75,nanchang_1420083A03#18_4,,
76,nanchang_1420083A04#18_5,,
77,nanchang_1420083A05#18_6,,
78,nanchang_1420083A06#18_7,,
79,nanchang_1420083A07#18_8,,
80,nanchang_1420083A08#18_9,,
81,nanchang_1420083A09#18_10,,
82,nanchang_1420083A10#18_11,,
83,nanchang_1430290A01#18_15,,
84,nanchang_1430290A02#18_16,,
85,nanchang_1430290A03#18_17,,
86,nanchang_1433261A01#18_18,,
87,nanchang_1433261A02,,
88,nanchang_1433261A03#18_20,,
89,nanchang_1433261A04#17_1,,
90,nanchang_1433261A05#17_2,,
91,nanchang_1438435B01#17_3,,
92,nanchang_1438435B02#17_4,,
93,nanchang_1445057B01#17_5,,
94,nanchang_1445057B02#17_6,,
95,nanchang_1445057B03#17_7,,
96,nanchang_1445057B04#17_8,,
97,nanchang_1457991C01#17_18,,
98,nanchang_1457991C02#17_19,,
99,nanchang_1457991C03#17_20,,
100,nanchang_1457991C04#16_1,,
101,nanchang_1457991C05#16_2,,
102,nanchang_1457991D01#16_3,,
103,nanchang_1457991D02#16_4,,
104,nanchang_1460108A01#16_17,,
105,nanchang_1460108A02#16_18,,
106,nanchang_1460108A03#16_19,,
107,nanchang_1460108A04#16_20,,
108,nanchang_1460108A05#4_1,,
109,nanchang_1460108A06#4_2,,
110,nanchang_1460108A07,,
111,nanchang_1460108A08,,
112,nanchang_1463717B01#4_5,,
113,nanchang_1463717B02#4_6,,
114,nanchang_1463717B03#4_7,,
115,nanchang_1463717B04#4_8,,
116,nanchang_1463717B05#4_9,,
117,nanchang_1463717B06#4_10,,
118,nanchang_1463717B07#4_11,,
119,nanchang_1463717B08#4_12,,
120,nanchang_1463717B09#4_13,,
121,nanchang_1463717B10#4_14,,
122,nanchang_1482921A01#4_15,,
123,nanchang_1482921A02#4_16,,
124,nanchang_1482921A03#4_17,,
125,nanchang_1482921A04#4_18,,
126,nanchang_1482921A05#4_19,,
127,nanchang_1482921A06#4_20,,
128,nanchang_1482921A07#5_1,,
129,nanchang_1491815A01#5_8,,
130,nanchang_1491815A02#5_9,,
131,nanchang_1491815A03#5_10,,
132,nanchang_1491815A04#5_11,,
133,nanchang_1491815A05#5_12,,
134,nanchang_1491815A06#5_13,,
135,nanchang_1491815A07#5_14,,
136,nanchang_1491815A08#5_15,,
137,nanchang_1493667A02#5_16,,
138,nanchang_1493667A03#5_17,,
139,nanchang_1493667A04#5_18,,
140,nanchang_1493667A05#5_19,,
141,nanchang_1493667A06#5_20,,
142,nanchang_1493667A07#6_1,,
143,nanchang_1493667A08#6_2,,
144,nanchang_1494509A01#6_3,,
145,nanchang_1494509A02#6_4,,
146,nanchang_1494509A03#6_5,,
147,nanchang_1494509A04#6_6,,
148,nanchang_1494509A05#6_7,,
149,nanchang_1494509A06#6_8,,
150,nanchang_1494509A07#6_9,,
151,nanchang_1502032A01,,
152,nanchang_1502032A02#6_11,,
153,nanchang_1502032A03#6_12,,
154,nanchang_1502032A04#6_13,,
155,nanchang_1502032A05#6_14,,
156,nanchang_1502032A06,,
157,nanchang_1520691A01#6_16,,
158,nanchang_1520691A02#6_17,,
159,nanchang_1520691A03#6_18,,
160,nanchang_1520691A04#6_19,,
161,nanchang_1520691A05#6_20,,
162,nanchang_1520691A06#19_1,,
163,nanchang_1526644A01#19_2,,
164,nanchang_1526644A02#19_3,,
165,nanchang_1526644A03#19_4,,
166,nanchang_1526644A04#19_5,,
167,nanchang_1526644A05#19_6,,
168,nanchang_1526644A06#19_7,,
169,nanchang_1526644A07#19_8,,
170,nanchang_1526644A08#19_9,,
171,nanchang_1544136A01#19_10,,
172,nanchang_1544136A02#19_11,,
173,nanchang_1544136A03#19_12,,
174,nanchang_1544136A04#19_13,,
175,nanchang_1544136A05#19_14,,
176,nanchang_1544136A06#19_15,,
