,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.3327922077922078,0.8582589285714286,0.43103448275862066,0.7666666666666666
1,1,0.4556213017751479,0.7689732142857143,0.5384615384615384,0.7
2,2,0.5698529411764706,0.6797385620915033,0.4137931034482759,0.6285714285714286
3,3,0.5486486486486486,0.29345531315974666,0.3508771929824561,0.6282051282051282
4,4,0.29629629629629634,0.4394230769230769,0.6,0.3939393939393939
5,5,0.43287037037037035,0.7184782608695652,0.4833333333333333,0.686046511627907
6,6,0.4577294685990338,0.7095959595959596,0.390625,0.7
7,7,0.1160714285714286,0.37763975155279506,0.3137254901960784,0.603448275862069
8,8,0.3246753246753247,0.30205949656750575,0.3098591549295775,0.5476190476190477
9,9,0.2057142857142857,0.23188405797101452,0.7555555555555555,0.6052631578947368
