,train,val,test
0,tcga_TCGA-G8-6326,tcga_TCGA-GS-A9TX,tcga_TCGA-GR-7351
1,tcga_TCGA-G8-6325,tcga_TCGA-GR-7353,tcga_TCGA-FA-A6HO
2,tcga_TCGA-GS-A9TY,tcga_TCGA-GR-A4D9,tcga_TCGA-GS-A9TU
3,tcga_TCGA-FM-8000,tcga_TCGA-GR-A4D4,nanchang_1390316A01#3_19
4,tcga_TCGA-G8-6906,tcga_TCGA-G8-6914,nanchang_1390316A02#3_20
5,tcga_TCGA-FF-8041,nanchang_1396455B01#1_4,nanchang_1390316A03#2_1
6,tcga_TCGA-RQ-A68N,nanchang_1396455B02#1_5,nanchang_1394025A01#2_2
7,tcga_TCGA-GS-A9TW,nanchang_1396455B02#1_6,nanchang_1394025A02#2_3
8,tcga_TCGA-FA-A7Q1,nanchang_1396455B03#1_7,nanchang_1394025A03#2_4
9,tcga_TCGA-FA-A6HN,nanchang_1396455B04#1_8,nanchang_1394025A04#2_5
10,tcga_TCGA-G8-6324,nanchang_1396455B05#1_9,nanchang_1394025A05#2_6
11,tcga_TCGA-FF-8043,nanchang_1396455B06#1_10,nanchang_1394025A06#2_7
12,tcga_TCGA-FF-8047,nanchang_1457991C01#17_18,nanchang_1394025A07#2_8
13,tcga_TCGA-G8-6909,nanchang_1457991C02#17_19,nanchang_1394025A08#2_9
14,tcga_TCGA-GS-A9U4,nanchang_1457991C03#17_20,nanchang_1394025A09#2_10
15,tcga_TCGA-FF-8046,nanchang_1457991C04#16_1,nanchang_1394025A10#2_11
16,tcga_TCGA-RQ-AAAT,nanchang_1457991C05#16_2,nanchang_1502032A01
17,tcga_TCGA-FA-8693,nanchang_1457991D01#16_3,nanchang_1502032A02#6_11
18,tcga_TCGA-GR-A4D6,nanchang_1457991D02#16_4,nanchang_1502032A03#6_12
19,tcga_TCGA-FA-A7DS,nanchang_1459142A01#16_5,nanchang_1502032A04#6_13
20,tcga_TCGA-G8-6907,nanchang_1459142A02#16_6,nanchang_1502032A05#6_14
21,tcga_TCGA-GS-A9TT,nanchang_1459142A03#16_7,nanchang_1502032A06
22,tcga_TCGA-GS-A9TQ,nanchang_1459142A04#16_8,nanchang_X155551A01#4_9
23,tcga_TCGA-GS-A9TV,nanchang_1459142A05#16_9,nanchang_X155551A02#4_10
24,tcga_TCGA-FF-8061,nanchang_1459142A06#16_10,nanchang_X155551A03#4_11
25,tcga_TCGA-FA-A4BB,nanchang_1459142A07#16_11,nanchang_X155551A04#4_12
26,tcga_TCGA-GR-A4D5,nanchang_1459142A08#16_12,nanchang_X155551A05#4_13
27,tcga_TCGA-RQ-A6JB,nanchang_1459142A09#16_13,nanchang_X155551A06#4_14
28,tcga_TCGA-FA-A82F,nanchang_1459142A10#16_14,nanchang_X169778A01#5_3
29,tcga_TCGA-GS-A9U3,nanchang_1459142A11#16_15,nanchang_X169778A02#5_4
30,tcga_TCGA-FA-A4XK,nanchang_1459142A12#16_16,nanchang_X169778A03#5_5
31,nanchang_1375314A01#3_1,nanchang_1556514A01#20_9,nanchang_X169778A04#5_6
32,nanchang_1375314A02#3_2,nanchang_1556514A02#20_10,nanchang_X169778A05#5_7
33,nanchang_1375314A03#3_3,nanchang_1556514A03#20_11,nanchang_X169778A06#5_8
34,nanchang_1375314A04#3_4,nanchang_1556514A04#20_12,nanchang_X169778A07#5_9
35,nanchang_1375314A05#3_5,nanchang_1556514A05#20_13,nanchang_X169778A08#5_10
36,nanchang_1375314A06#3_6,nanchang_1556514A06#20_14,morph_13980_0
37,nanchang_1375314A07#3_7,nanchang_1556514A07#20_15,morph_26843_0
38,nanchang_1375314A08#3_8,nanchang_1556514A08#20_16,morph_13980_1
39,nanchang_1386008A01#3_9,nanchang_X224490A01#9_19,morph_18848_6
40,nanchang_1386008A02#3_10,nanchang_X224490A02#9_20,morph_13961_0
41,nanchang_1386008A03#3_11,nanchang_X224490A03#10_1,morph_13978_1
42,nanchang_1386008A04#3_12,nanchang_X224490A04#10_2,morph_13978_0
43,nanchang_1386008A05#3_13,nanchang_X224490A05#10_3,morph_18852_0
44,nanchang_1386008A06#3_14,nanchang_X224490A06#10_4,morph_18848_1
45,nanchang_1386008A07#3_15,nanchang_X224490A07#10_5,morph_18848_5
46,nanchang_1386008A08#3_16,nanchang_X224490A08#10_6,morph_26839_0
47,nanchang_1386008A09#3_17,nanchang_X225774A01#10_7,morph_26816_0
48,nanchang_1386008A10#3_18,nanchang_X225774A02#10_8,morph_19685_0
49,nanchang_1394250C01#2_12,nanchang_X225774A03#10_9,morph_26851_0
50,nanchang_1394250C02#2_13,nanchang_X225774A04#10_10,morph_13961_1
51,nanchang_1394250C03#2_14,nanchang_X225774A05#10_11,morph_18848_4
52,nanchang_1394250C04#2_15,nanchang_X225774A06#10_12,morph_18848_3
53,nanchang_1394250C05#2_16,nanchang_X225774A07#10_13,morph_18848_2
54,nanchang_1394250C06#2_17,nanchang_X225774A08#10_14,morph_18833_0
55,nanchang_1394250C07#2_18,morph_26787_0,morph_18842_0
56,nanchang_1394250C08#2_19,morph_26833_0,morph_18848_0
57,nanchang_1394931A01#2_20,morph_26828_0,morph_13980_2
58,nanchang_1394931A02#1_1,morph_26826_0,morph_19678_0
59,nanchang_1394931A03#1_2,morph_19675_0,morph_26810_0
60,nanchang_1394931A04#1_3,morph_18844_0,
61,nanchang_1412190C01,morph_19677_0,
62,nanchang_1412190C02,morph_18829_0,
63,nanchang_1412190C03,morph_26845_0,
64,nanchang_1412190C04,morph_18851_0,
65,nanchang_1412190C05,morph_26793_0,
66,nanchang_1412190C06,,
67,nanchang_1412190C07,,
68,nanchang_1412190C08,,
69,nanchang_1420083A01#18_2,,
70,nanchang_1420083A02#18_3,,
71,nanchang_1420083A03#18_4,,
72,nanchang_1420083A04#18_5,,
73,nanchang_1420083A05#18_6,,
74,nanchang_1420083A06#18_7,,
75,nanchang_1420083A07#18_8,,
76,nanchang_1420083A08#18_9,,
77,nanchang_1420083A09#18_10,,
78,nanchang_1420083A10#18_11,,
79,nanchang_1430290A01#18_15,,
80,nanchang_1430290A02#18_16,,
81,nanchang_1430290A03#18_17,,
82,nanchang_1433261A01#18_18,,
83,nanchang_1433261A02,,
84,nanchang_1433261A03#18_20,,
85,nanchang_1433261A04#17_1,,
86,nanchang_1433261A05#17_2,,
87,nanchang_1438435B01#17_3,,
88,nanchang_1438435B02#17_4,,
89,nanchang_1445057B01#17_5,,
90,nanchang_1445057B02#17_6,,
91,nanchang_1445057B03#17_7,,
92,nanchang_1445057B04#17_8,,
93,nanchang_1460108A01#16_17,,
94,nanchang_1460108A02#16_18,,
95,nanchang_1460108A03#16_19,,
96,nanchang_1460108A04#16_20,,
97,nanchang_1460108A05#4_1,,
98,nanchang_1460108A06#4_2,,
99,nanchang_1460108A07,,
100,nanchang_1460108A08,,
101,nanchang_1463717B01#4_5,,
102,nanchang_1463717B02#4_6,,
103,nanchang_1463717B03#4_7,,
104,nanchang_1463717B04#4_8,,
105,nanchang_1463717B05#4_9,,
106,nanchang_1463717B06#4_10,,
107,nanchang_1463717B07#4_11,,
108,nanchang_1463717B08#4_12,,
109,nanchang_1463717B09#4_13,,
110,nanchang_1463717B10#4_14,,
111,nanchang_1482921A01#4_15,,
112,nanchang_1482921A02#4_16,,
113,nanchang_1482921A03#4_17,,
114,nanchang_1482921A04#4_18,,
115,nanchang_1482921A05#4_19,,
116,nanchang_1482921A06#4_20,,
117,nanchang_1482921A07#5_1,,
118,nanchang_1491815A01#5_8,,
119,nanchang_1491815A02#5_9,,
120,nanchang_1491815A03#5_10,,
121,nanchang_1491815A04#5_11,,
122,nanchang_1491815A05#5_12,,
123,nanchang_1491815A06#5_13,,
124,nanchang_1491815A07#5_14,,
125,nanchang_1491815A08#5_15,,
126,nanchang_1493667A02#5_16,,
127,nanchang_1493667A03#5_17,,
128,nanchang_1493667A04#5_18,,
129,nanchang_1493667A05#5_19,,
130,nanchang_1493667A06#5_20,,
131,nanchang_1493667A07#6_1,,
132,nanchang_1493667A08#6_2,,
133,nanchang_1494509A01#6_3,,
134,nanchang_1494509A02#6_4,,
135,nanchang_1494509A03#6_5,,
136,nanchang_1494509A04#6_6,,
137,nanchang_1494509A05#6_7,,
138,nanchang_1494509A06#6_8,,
139,nanchang_1494509A07#6_9,,
140,nanchang_1520691A01#6_16,,
141,nanchang_1520691A02#6_17,,
142,nanchang_1520691A03#6_18,,
143,nanchang_1520691A04#6_19,,
144,nanchang_1520691A05#6_20,,
145,nanchang_1520691A06#19_1,,
146,nanchang_1526644A01#19_2,,
147,nanchang_1526644A02#19_3,,
148,nanchang_1526644A03#19_4,,
149,nanchang_1526644A04#19_5,,
150,nanchang_1526644A05#19_6,,
151,nanchang_1526644A06#19_7,,
152,nanchang_1526644A07#19_8,,
153,nanchang_1526644A08#19_9,,
154,nanchang_1544136A01#19_10,,
155,nanchang_1544136A02#19_11,,
156,nanchang_1544136A03#19_12,,
157,nanchang_1544136A04#19_13,,
158,nanchang_1544136A05#19_14,,
159,nanchang_1544136A06#19_15,,
160,nanchang_1544136A07#19_16,,
161,nanchang_1544136A08#19_17,,
162,nanchang_1549139A01#19_18,,
163,nanchang_1549139A02#19_19,,
164,nanchang_1549139A03#19_20,,
165,nanchang_1549139A04#20_1,,
166,nanchang_1549139A05#20_2,,
167,nanchang_1549818A01#20_3,,
168,nanchang_1549818A02#20_4,,
169,nanchang_1549818A03#20_5,,
170,nanchang_1549818A04#20_6,,
171,nanchang_1549818A05#20_7,,
172,nanchang_1549818A06#20_8,,
173,nanchang_1561277B01#2_1,,
174,nanchang_1561277B02#2_2,,
175,nanchang_1561277B03#2_3,,
176,nanchang_1561277B04#2_4,,
177,nanchang_1561277B05#2_5,,
178,nanchang_1565608A01#21_3,,
179,nanchang_1565608A02#21_4,,
180,nanchang_1565608A03#21_5,,
181,nanchang_1565608A04#21_6,,
182,nanchang_1565608A05#21_7,,
183,nanchang_1565608A06#21_8,,
184,nanchang_1565608A07#21_9,,
185,nanchang_1565608A08#21_10,,
186,nanchang_1569744A01#21_11,,
187,nanchang_1569744A02#21_12,,
188,nanchang_1569744A03#21_13,,
189,nanchang_1569744A04#21_14,,
190,nanchang_1569744A05#21_15,,
191,nanchang_1569744A06#21_16,,
192,nanchang_1569744A07#21_17,,
193,nanchang_1569744A08#21_18,,
194,nanchang_1569744A09#21_19,,
195,nanchang_1569744A10#21_20,,
196,nanchang_1569744A11#7_1,,
197,nanchang_1569744A12#7_2,,
198,nanchang_1569744A13#7_3,,
199,nanchang_1569744A14#7_4,,
200,nanchang_X125675A01#2_14,,
201,nanchang_X125675A02#2_15,,
202,nanchang_X125675A03#2_16,,
203,nanchang_X125675A04#2_17,,
204,nanchang_X125675A05#2_18,,
205,nanchang_X125675A06#2_19,,
206,nanchang_X125675A07#2_20,,
207,nanchang_X125675A08#3_1,,
208,nanchang_X125675A09#3_2,,
209,nanchang_X125675A10#3_3,,
210,nanchang_X125675A11#3_4,,
211,nanchang_X125675A12#3_5,,
212,nanchang_X125675A13#3_6,,
213,nanchang_X125675A14#3_7,,
214,nanchang_X125675A15#3_8,,
215,nanchang_X127179A01#3_9,,
216,nanchang_X127179A02#3_10,,
217,nanchang_X127179A03#3_11,,
218,nanchang_X127179A04#3_12,,
219,nanchang_X127179A05#3_13,,
220,nanchang_X127179A06#3_14,,
221,nanchang_X133886A01#3_15,,
222,nanchang_X133886A02#3_16,,
223,nanchang_X133886A03#3_17,,
224,nanchang_X133886A04#3_18,,
225,nanchang_X133886A05#3_19,,
226,nanchang_X133886A06#3_20,,
227,nanchang_X150846A01#4_1,,
228,nanchang_X150846A02#4_2,,
229,nanchang_X150846A03#4_3,,
230,nanchang_X150846A04#4_4,,
231,nanchang_X150846A05#4_5,,
232,nanchang_X150846A06#4_6,,
233,nanchang_X150846A07#4_7,,
234,nanchang_X150846A08#4_8,,
235,nanchang_X161534A01#4_15,,
236,nanchang_X161534A02#4_16,,
237,nanchang_X161534A03#4_17,,
238,nanchang_X161534A04#4_18,,
239,nanchang_X161534A05#4_19,,
240,nanchang_X161534A06#4_20,,
241,nanchang_X161534A07#5_1,,
242,nanchang_X161534A08#5_2,,
243,nanchang_X172464A01#5_11,,
244,nanchang_X172464A02#5_12,,
245,nanchang_X172464A03#5_13,,
246,nanchang_X172464A04#5_14,,
247,nanchang_X172464A05#5_15,,
248,nanchang_X172464A06#5_16,,
249,nanchang_X172464A07#5_17,,
250,nanchang_X172464A08#5_18,,
251,nanchang_X179852A01#5_19,,
252,nanchang_X179852A02#5_20,,
253,nanchang_X179852A03#6_1,,
254,nanchang_X179852A04#6_2,,
255,nanchang_X179852A05#6_3,,
256,nanchang_X179852A06#6_4,,
257,nanchang_X197133A01#6_11,,
258,nanchang_X197133A02#6_12,,
259,nanchang_X197133A03#6_13,,
260,nanchang_X197133A04#6_14,,
261,nanchang_X197133A05#6_15,,
262,nanchang_X197133A06#6_16,,
263,nanchang_X197133A07#6_17,,
264,nanchang_X197133A08#6_18,,
265,nanchang_X207531C01#7_11,,
266,nanchang_X207531C02#7_12,,
267,nanchang_X207531C03#7_13,,
268,nanchang_X207531C04#7_14,,
269,nanchang_X207531C05#7_15,,
270,nanchang_X207531C06#7_16,,
271,nanchang_X207531C07#7_17,,
272,nanchang_X207531C08#7_18,,
273,nanchang_X207531C09#7_19,,
274,nanchang_X207531C10#7_20,,
275,nanchang_X207531C11#8_1,,
276,nanchang_X207531C12#8_2,,
277,nanchang_X207531C13#8_3,,
278,nanchang_X207531C14#8_4,,
279,nanchang_X207531C15#8_5,,
280,nanchang_X207531C16#8_6,,
281,nanchang_X207531C17#8_7,,
282,nanchang_X207531C18#8_8,,
283,nanchang_X207531C19#8_9,,
284,nanchang_X207531C20#8_10,,
285,nanchang_X209790A01#8_11,,
286,nanchang_X209790A02#8_12,,
287,nanchang_X209790A03#8_13,,
288,nanchang_X209790A04#8_14,,
289,nanchang_X209790A05#8_15,,
290,nanchang_X209790A06#8_16,,
291,nanchang_X209790A07#8_17,,
292,nanchang_X209790A08#8_18,,
293,nanchang_X209790A09#8_19,,
294,nanchang_X209790A10#8_20,,
295,nanchang_X209790A11#9_1,,
296,nanchang_X209790A12#9_2,,
297,nanchang_X211079A01#9_3,,
298,nanchang_X211079A02#9_4,,
299,nanchang_X211079A03#9_5,,
300,nanchang_X211079A04#9_6,,
301,nanchang_X211079A05#9_7,,
302,nanchang_X211079A06#9_8,,
303,nanchang_X211079A07#9_9,,
304,nanchang_X211079A08#9_10,,
305,nanchang_X219408A01#9_11,,
306,nanchang_X219408A02#9_12,,
307,nanchang_X219408A03#9_13,,
308,nanchang_X219408A04#9_14,,
309,nanchang_X219408A05#9_15,,
310,nanchang_X219408A06#9_16,,
311,nanchang_X219408A07#9_17,,
312,nanchang_X219408A08#9_18,,
313,nanchang_X227639A01#10_15,,
314,nanchang_X227639A02#10_16,,
315,nanchang_X227639A03#10_17,,
316,nanchang_X227639A04#10_18,,
317,nanchang_X227639A05#10_19,,
318,nanchang_X227639A06#10_20,,
319,nanchang_X227639A07#11_1,,
320,nanchang_X227639A08#11_2,,
321,nanchang_X242275A01#11_3,,
322,nanchang_X242275A02#11_4,,
323,nanchang_X242275A03#11_5,,
324,nanchang_X242275A04#11_6,,
325,nanchang_X242275A05#11_7,,
326,nanchang_X242275A06#11_8,,
327,nanchang_X242275A07#11_9,,
328,nanchang_X242275A08#11_10,,
329,nanchang_X251184A01#11_11,,
330,nanchang_X251184A02#11_12,,
331,nanchang_X251184A03#11_13,,
332,nanchang_X251184A04#11_14,,
333,nanchang_X251184A05#11_15,,
334,nanchang_X251184A06#11_16,,
335,nanchang_X251184A07#11_17,,
336,nanchang_X251184A08#11_18,,
337,morph_26807_0,,
338,morph_26791_0,,
339,morph_19669_0,,
340,morph_26848_0,,
341,morph_18849_0,,
342,morph_18843_1,,
343,morph_18836_0,,
344,morph_26801_0,,
345,morph_19667_0,,
346,morph_18847_0,,
347,morph_26803_0,,
348,morph_26850_0,,
349,morph_26844_0,,
350,morph_26795_0,,
351,morph_26817_0,,
352,morph_18837_0,,
353,morph_13958_0,,
354,morph_19694_0,,
355,morph_18827_2,,
356,morph_13973_1,,
357,morph_18836_1,,
358,morph_26835_0,,
359,morph_18847_6,,
360,morph_18847_8,,
361,morph_13964_0,,
362,morph_13971_0,,
363,morph_18849_1,,
364,morph_19697_0,,
365,morph_26834_0,,
366,morph_19691_0,,
367,morph_13952_1,,
368,morph_18847_9,,
369,morph_19674_0,,
370,morph_26809_0,,
371,morph_18841_0,,
372,morph_18843_0,,
373,morph_13979_0,,
374,morph_13957_0,,
375,morph_26846_0,,
376,morph_13958_3,,
377,morph_18827_0,,
378,morph_13983_0,,
379,morph_13958_1,,
380,morph_18847_4,,
381,morph_26858_0,,
382,morph_26802_0,,
383,morph_26838_0,,
384,morph_26789_0,,
385,morph_18849_2,,
386,morph_26824_0,,
387,morph_19681_0,,
388,morph_18847_1,,
389,morph_18840_4,,
390,morph_18840_3,,
391,morph_13959_0,,
392,morph_26806_0,,
393,morph_13973_0,,
394,morph_19693_0,,
395,morph_26832_0,,
396,morph_13977_1,,
397,morph_18841_2,,
398,morph_18832_0,,
399,morph_13983_1,,
400,morph_26822_0,,
401,morph_13965_2,,
402,morph_26855_0,,
403,morph_18847_10,,
404,morph_18847_5,,
405,morph_13962_0,,
406,morph_13981_1,,
407,morph_26821_0,,
408,morph_13977_0,,
409,morph_13974_1,,
410,morph_19672_0,,
411,morph_18845_0,,
412,morph_18831_0,,
413,morph_13963_0,,
414,morph_26847_0,,
415,morph_13955_0,,
416,morph_13954_0,,
417,morph_19689_0,,
418,morph_13966_0,,
