,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.7125,0.20089285714285712,0.4375,0.4666666666666667
1,1,0.36160714285714285,0.07142857142857142,0.3666666666666667,0.23333333333333328
2,2,0.37830687830687837,0.3622448979591837,0.6585365853658536,0.3214285714285714
3,3,0.6168831168831168,0.38541666666666663,0.6111111111111112,0.5714285714285714
4,4,0.8766666666666667,0.12333333333333336,0.4285714285714286,0.6756756756756757
5,5,0.37745098039215685,0.5428571428571428,0.5862068965517242,0.5833333333333333
6,6,0.5761904761904763,0.3,0.48275862068965514,0.5555555555555556
7,7,0.5757575757575757,0.3875739644970414,0.5862068965517242,0.6666666666666667
8,8,0.41326530612244905,0.5759637188208617,0.3571428571428571,0.5714285714285714
9,9,0.9285714285714286,0.9225,0.7,0.8
