,train,val,test
0,1375314A01#3_1,1396455B01#1_4,1412190C01
1,1375314A02#3_2,1396455B02#1_5,1412190C02
2,1375314A03#3_3,1396455B02#1_6,1412190C03
3,1375314A04#3_4,1396455B03#1_7,1412190C04
4,1375314A05#3_5,1396455B04#1_8,1412190C05
5,1375314A06#3_6,1396455B05#1_9,1412190C06
6,1375314A07#3_7,1396455B06#1_10,1412190C07
7,1375314A08#3_8,1549818A01#20_3,1412190C08
8,1386008A01#3_9,1549818A02#20_4,1502032A01
9,1386008A02#3_10,1549818A03#20_5,1502032A02#6_11
10,1386008A03#3_11,1549818A04#20_6,1502032A03#6_12
11,1386008A04#3_12,1549818A05#20_7,1502032A04#6_13
12,1386008A05#3_13,1549818A06#20_8,1502032A05#6_14
13,1386008A06#3_14,1569744A01#21_11,1502032A06
14,1386008A07#3_15,1569744A02#21_12,1520691A01#6_16
15,1386008A08#3_16,1569744A03#21_13,1520691A02#6_17
16,1386008A09#3_17,1569744A04#21_14,1520691A03#6_18
17,1386008A10#3_18,1569744A05#21_15,1520691A04#6_19
18,1390316A01#3_19,1569744A06#21_16,1520691A05#6_20
19,1390316A02#3_20,1569744A07#21_17,1520691A06#19_1
20,1390316A03#2_1,1569744A08#21_18,X197133A01#6_11
21,1394025A01#2_2,1569744A09#21_19,X197133A02#6_12
22,1394025A02#2_3,1569744A10#21_20,X197133A03#6_13
23,1394025A03#2_4,1569744A11#7_1,X197133A04#6_14
24,1394025A04#2_5,1569744A12#7_2,X197133A05#6_15
25,1394025A05#2_6,1569744A13#7_3,X197133A06#6_16
26,1394025A06#2_7,1569744A14#7_4,X197133A07#6_17
27,1394025A07#2_8,X125675A01#2_14,X197133A08#6_18
28,1394025A08#2_9,X125675A02#2_15,
29,1394025A09#2_10,X125675A03#2_16,
30,1394025A10#2_11,X125675A04#2_17,
31,1394250C01#2_12,X125675A05#2_18,
32,1394250C02#2_13,X125675A06#2_19,
33,1394250C03#2_14,X125675A07#2_20,
34,1394250C04#2_15,X125675A08#3_1,
35,1394250C05#2_16,X125675A09#3_2,
36,1394250C06#2_17,X125675A10#3_3,
37,1394250C07#2_18,X125675A11#3_4,
38,1394250C08#2_19,X125675A12#3_5,
39,1394931A01#2_20,X125675A13#3_6,
40,1394931A02#1_1,X125675A14#3_7,
41,1394931A03#1_2,X125675A15#3_8,
42,1394931A04#1_3,,
43,1420083A01#18_2,,
44,1420083A02#18_3,,
45,1420083A03#18_4,,
46,1420083A04#18_5,,
47,1420083A05#18_6,,
48,1420083A06#18_7,,
49,1420083A07#18_8,,
50,1420083A08#18_9,,
51,1420083A09#18_10,,
52,1420083A10#18_11,,
53,1430290A01#18_15,,
54,1430290A02#18_16,,
55,1430290A03#18_17,,
56,1433261A01#18_18,,
57,1433261A02,,
58,1433261A03#18_20,,
59,1433261A04#17_1,,
60,1433261A05#17_2,,
61,1438435B01#17_3,,
62,1438435B02#17_4,,
