,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.7375,0.24107142857142855,0.5625,0.3666666666666667
1,1,0.6339285714285714,0.08035714285714288,0.5333333333333333,0.5333333333333333
2,2,0.6058201058201058,0.5612244897959184,0.6341463414634146,0.6071428571428572
3,3,0.7272727272727273,0.3697916666666667,0.38888888888888884,0.4285714285714286
4,4,0.7566666666666666,0.18666666666666665,0.4285714285714286,0.6756756756756757
5,5,0.5098039215686274,0.5071428571428571,0.5862068965517242,0.5833333333333333
6,6,0.1523809523809524,0.0888888888888889,0.5172413793103448,0.4444444444444444
7,7,0.7727272727272728,0.6568047337278107,0.6206896551724138,0.6666666666666667
8,8,0.38265306122448983,0.5351473922902494,0.5714285714285714,0.47619047619047616
9,9,0.7767857142857143,0.9099999999999999,0.7,0.8
