,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.7541666666666667,0.40625,0.5625,0.5333333333333333
1,1,0.6875,0.08035714285714285,0.4666666666666667,0.4666666666666667
2,2,0.3624338624338625,0.35714285714285715,0.3414634146341463,0.5
3,3,0.6201298701298701,0.47395833333333337,0.38888888888888884,0.4285714285714286
4,4,0.5966666666666667,0.31333333333333335,0.4285714285714286,0.6756756756756757
5,5,0.1323529411764706,0.5642857142857143,0.3793103448275862,0.625
6,6,0.4904761904761905,0.25,0.48275862068965514,0.5555555555555556
7,7,0.7424242424242424,0.37573964497041423,0.7241379310344828,0.5897435897435898
8,8,0.41836734693877553,0.6643990929705215,0.4285714285714286,0.6190476190476191
9,9,0.7633928571428572,0.785,0.6666666666666667,0.825
