,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.25416666666666665,0.49553571428571425,0.625,0.5333333333333333
1,1,0.5580357142857142,0.08035714285714285,0.5333333333333333,0.30000000000000004
2,2,0.2698412698412699,0.6989795918367347,0.4878048780487805,0.5714285714285714
3,3,0.6590909090909091,0.40625,0.38888888888888884,0.4285714285714286
4,4,0.26666666666666666,0.7566666666666667,0.5714285714285714,0.32432432432432434
5,5,0.6715686274509803,0.5,0.4137931034482759,0.41666666666666663
6,6,0.5476190476190476,0.5222222222222223,0.48275862068965514,0.5555555555555556
7,7,0.7575757575757576,0.44970414201183434,0.6206896551724138,0.6666666666666667
8,8,0.4693877551020409,0.5170068027210883,0.5,0.5
9,9,0.5401785714285714,0.32000000000000006,0.5333333333333333,0.5
