,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8125,0.663,0.7142857142857143,0.6461538461538461
1,1,0.8392857142857143,0.5438311688311688,0.7333333333333334,0.56
2,2,0.6944444444444445,0.3592375366568915,0.47619047619047616,0.49056603773584906
3,3,0.736111111111111,0.42857142857142855,0.7,0.5319148936170213
4,4,0.85,0.4396135265700483,0.8125,0.43999999999999995
5,5,0.2888888888888889,0.7126696832579186,0.368421052631579,0.6744186046511628
6,6,0.7301587301587302,0.6705128205128206,0.6875,0.711864406779661
7,7,0.7037037037037037,0.6654040404040404,0.7333333333333334,0.6551724137931034
8,8,0.7986111111111112,0.4951923076923077,0.6923076923076923,0.52
9,9,0.7435897435897436,0.610641891891892,0.8421052631578947,0.5652173913043479
