,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8958333333333334,0.7230000000000001,0.9285714285714286,0.7384615384615385
1,1,0.8928571428571429,0.44480519480519476,0.8,0.48
2,2,0.4722222222222222,0.5234604105571847,0.47619047619047616,0.5094339622641509
3,3,0.6203703703703703,0.618421052631579,0.6333333333333333,0.574468085106383
4,4,0.9000000000000001,0.4879227053140096,0.8125,0.45999999999999996
5,5,0.34444444444444444,0.7330316742081449,0.368421052631579,0.7209302325581395
6,6,0.7619047619047619,0.6705128205128206,0.75,0.6271186440677966
7,7,0.8148148148148148,0.44696969696969696,0.7333333333333334,0.5344827586206897
8,8,0.8333333333333333,0.6426282051282052,0.7692307692307692,0.62
9,9,0.7692307692307692,0.6554054054054054,0.7894736842105263,0.5797101449275363
