,train,val,test
0,26807_0,26791_0,26801_0
1,13980_0,19669_0,18847_0
2,18849_0,26848_0,26844_0
3,26787_0,18843_1,18848_6
4,26843_0,26795_0,18847_6
5,18836_0,18837_0,18847_8
6,19667_0,19694_0,18847_9
7,13980_1,26833_0,18847_4
8,26803_0,13978_1,18848_1
9,26850_0,13964_0,26858_0
10,26817_0,13971_0,18848_5
11,13958_0,13978_0,18847_1
12,18827_2,18852_0,26806_0
13,13973_1,19674_0,18847_10
14,18836_1,18841_0,18847_5
15,26835_0,18843_0,18848_4
16,13961_0,13979_0,26815_0
17,18849_1,13957_0,18848_3
18,19697_0,26846_0,19677_0
19,26834_0,13983_0,19690_0
20,19691_0,26838_0,18848_2
21,13952_1,26839_0,26790_0
22,26809_0,18841_2,18829_0
23,13958_3,13983_1,26845_0
24,18827_0,26822_0,18847_7
25,13958_1,18845_0,18847_2
26,26802_0,18831_0,18848_0
27,26789_0,13955_0,13960_0
28,18849_2,26825_0,18847_3
29,26824_0,26805_0,26793_0
30,19681_0,18844_0,
31,18840_4,26853_0,
32,18840_3,13975_0,
33,13959_0,26842_0,
34,26816_0,19700_0,
35,13973_0,13983_3,
36,19693_0,26788_0,
37,26832_0,18841_1,
38,13977_1,26820_0,
39,18832_0,13983_2,
40,26828_0,18842_0,
41,19685_0,19680_0,
42,13965_2,19676_0,
43,26851_0,18834_0,
44,26855_0,13972_0,
45,13962_0,26859_0,
46,13981_1,13972_1,
47,26826_0,,
48,26821_0,,
49,13977_0,,
50,13974_1,,
51,19672_0,,
52,13961_1,,
53,13963_0,,
54,26847_0,,
55,19675_0,,
56,13954_0,,
57,19689_0,,
58,13966_0,,
59,13953_0,,
60,26814_0,,
61,18846_0,,
62,13976_0,,
63,18840_1,,
64,18835_0,,
65,26811_0,,
66,26831_0,,
67,26841_0,,
68,19684_0,,
69,18840_5,,
70,26794_0,,
71,13965_0,,
72,13953_1,,
73,18840_2,,
74,26849_0,,
75,19698_0,,
76,26823_0,,
77,18833_0,,
78,26813_0,,
79,13952_0,,
80,26829_0,,
81,19695_0,,
82,26798_0,,
83,13962_1,,
84,13965_1,,
85,18827_1,,
86,13981_0,,
87,13958_2,,
88,26808_0,,
89,13974_0,,
90,18830_0,,
91,13973_2,,
92,26857_0,,
93,13977_2,,
94,26799_0,,
95,26804_0,,
96,13980_2,,
97,18840_0,,
98,19678_0,,
99,26800_0,,
100,18838_0,,
101,26810_0,,
102,19692_0,,
103,18839_0,,
104,18851_0,,
105,26797_0,,
