,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9166666666666667,0.715,0.9285714285714286,0.7230769230769231
1,1,0.8571428571428572,0.4431818181818182,0.8,0.48
2,2,0.4444444444444444,0.530791788856305,0.47619047619047616,0.5283018867924528
3,3,0.6481481481481481,0.5845864661654135,0.6333333333333333,0.5531914893617021
4,4,0.8833333333333334,0.5040257648953301,0.8125,0.48
5,5,0.33333333333333337,0.7330316742081449,0.3157894736842105,0.7209302325581395
6,6,0.746031746031746,0.658974358974359,0.6875,0.6440677966101696
7,7,0.7962962962962962,0.43939393939393945,0.6666666666666667,0.5172413793103448
8,8,0.7777777777777779,0.6282051282051282,0.7692307692307692,0.5800000000000001
9,9,0.7948717948717948,0.6359797297297298,0.7894736842105263,0.5652173913043479
