,train,val,test
0,26791_0,19669_0,26807_0
1,13980_0,18849_0,26828_0
2,26848_0,26787_0,19672_0
3,18843_1,18836_0,18845_0
4,26843_0,26801_0,18831_0
5,13980_1,19667_0,18835_0
6,26844_0,18847_0,19700_0
7,26817_0,26803_0,26849_0
8,18837_0,26850_0,19695_0
9,13958_0,26795_0,26857_0
10,19694_0,13973_1,19678_0
11,18827_2,18836_1,26810_0
12,13961_0,26833_0,18839_0
13,13964_0,18848_6,26797_0
14,13971_0,26835_0,
15,19697_0,18847_6,
16,19691_0,13978_1,
17,18852_0,18847_8,
18,13952_1,13978_0,
19,19674_0,18849_1,
20,26809_0,26834_0,
21,18841_0,18847_9,
22,18843_0,13979_0,
23,26846_0,13957_0,
24,13958_3,13983_0,
25,18827_0,18847_4,
26,13958_1,18848_1,
27,26858_0,26838_0,
28,26802_0,18848_5,
29,26789_0,18849_2,
30,26824_0,18847_1,
31,26839_0,13959_0,
32,19681_0,13973_0,
33,18840_4,26832_0,
34,18840_3,13983_1,
35,26806_0,26855_0,
36,26816_0,18847_10,
37,19693_0,18847_5,
38,13977_1,26821_0,
39,18841_2,18848_4,
40,18832_0,19689_0,
41,26822_0,13953_0,
42,19685_0,26805_0,
43,13965_2,18846_0,
44,26851_0,18848_3,
45,13962_0,18848_2,
46,13981_1,26842_0,
47,26826_0,13953_1,
48,13977_0,13983_3,
49,13974_1,26845_0,
50,13961_1,26788_0,
51,13963_0,26829_0,
52,26847_0,26798_0,
53,13955_0,18847_7,
54,19675_0,26820_0,
55,13954_0,13983_2,
56,13966_0,18847_2,
57,26825_0,18830_0,
58,26814_0,18848_0,
59,26815_0,13973_2,
60,18844_0,19680_0,
61,13976_0,26804_0,
62,26853_0,26800_0,
63,18840_1,13960_0,
64,26811_0,18847_3,
65,13975_0,,
66,19677_0,,
67,19690_0,,
68,26831_0,,
69,26841_0,,
70,19684_0,,
71,18840_5,,
72,26794_0,,
73,13965_0,,
74,26790_0,,
75,18829_0,,
76,18840_2,,
77,19698_0,,
78,26823_0,,
79,18833_0,,
80,18841_1,,
81,26813_0,,
82,13952_0,,
83,13962_1,,
84,13965_1,,
85,18827_1,,
86,13981_0,,
87,13958_2,,
88,26808_0,,
89,18842_0,,
90,13974_0,,
91,13977_2,,
92,26799_0,,
93,19676_0,,
94,13980_2,,
95,18834_0,,
96,18840_0,,
97,13972_0,,
98,18838_0,,
99,26859_0,,
100,19692_0,,
101,18851_0,,
102,26793_0,,
103,13972_1,,
