,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9583333333333334,0.739,0.9285714285714286,0.7538461538461538
1,1,0.9285714285714286,0.4561688311688311,0.7333333333333334,0.45999999999999996
2,2,0.5462962962962963,0.4560117302052786,0.4285714285714286,0.4528301886792453
3,3,0.6203703703703703,0.5733082706766918,0.6,0.5957446808510638
4,4,0.8,0.5475040257648953,0.6875,0.52
5,5,0.28888888888888886,0.7058823529411765,0.368421052631579,0.6976744186046512
6,6,0.7936507936507937,0.5756410256410256,0.75,0.5932203389830508
7,7,0.8333333333333334,0.45328282828282823,0.8,0.5517241379310345
8,8,0.7638888888888888,0.6346153846153846,0.7307692307692308,0.5800000000000001
9,9,0.8717948717948718,0.6528716216216217,0.736842105263158,0.5507246376811594
