,train,val,test
0,26807_0,26791_0,18849_0
1,13980_0,19669_0,26843_0
2,26848_0,26801_0,13964_0
3,26787_0,19667_0,18849_1
4,18843_1,18847_0,18852_0
5,18836_0,26844_0,19674_0
6,13980_1,13958_0,13983_0
7,26803_0,19694_0,18849_2
8,26850_0,18827_2,13983_1
9,26795_0,13973_1,26821_0
10,26817_0,18848_6,26805_0
11,18837_0,18847_6,13975_0
12,18836_1,13961_0,26842_0
13,26833_0,13978_1,13983_3
14,26835_0,18847_8,26813_0
15,13971_0,13978_0,19695_0
16,19697_0,19691_0,26820_0
17,26834_0,18847_9,13983_2
18,13952_1,18841_0,19676_0
19,26809_0,13957_0,
20,18843_0,26846_0,
21,13979_0,13958_3,
22,26802_0,18827_0,
23,26838_0,13958_1,
24,26789_0,18847_4,
25,26824_0,18848_1,
26,19681_0,26858_0,
27,18840_4,18848_5,
28,18840_3,26839_0,
29,13959_0,18847_1,
30,26806_0,13973_0,
31,26816_0,18841_2,
32,19693_0,26851_0,
33,26832_0,26855_0,
34,13977_1,18847_10,
35,18832_0,18847_5,
36,26828_0,13981_1,
37,26822_0,13961_1,
38,19685_0,18831_0,
39,13965_2,18848_4,
40,13962_0,13954_0,
41,26826_0,13953_0,
42,13977_0,18844_0,
43,13974_1,18848_3,
44,19672_0,26853_0,
45,18845_0,18848_2,
46,13963_0,19684_0,
47,26847_0,26794_0,
48,13955_0,13953_1,
49,19675_0,26849_0,
50,19689_0,18841_1,
51,13966_0,18847_7,
52,26825_0,18827_1,
53,26814_0,13981_0,
54,26815_0,13958_2,
55,18846_0,18847_2,
56,13976_0,18848_0,
57,18840_1,13973_2,
58,18835_0,26799_0,
59,26811_0,26804_0,
60,19677_0,18834_0,
61,19690_0,13972_0,
62,26831_0,19678_0,
63,26841_0,26800_0,
64,19700_0,13960_0,
65,18840_5,19692_0,
66,13965_0,18847_3,
67,26790_0,13972_1,
68,18829_0,26797_0,
69,18840_2,,
70,26845_0,,
71,19698_0,,
72,26788_0,,
73,26823_0,,
74,18833_0,,
75,13952_0,,
76,26829_0,,
77,26798_0,,
78,13962_1,,
79,13965_1,,
80,26808_0,,
81,18842_0,,
82,13974_0,,
83,18830_0,,
84,26857_0,,
85,13977_2,,
86,19680_0,,
87,13980_2,,
88,18840_0,,
89,18838_0,,
90,26810_0,,
91,26859_0,,
92,18839_0,,
93,18851_0,,
94,26793_0,,
