,train,val,test
0,13980_0,26807_0,18843_1
1,26848_0,26791_0,26843_0
2,26787_0,19669_0,18837_0
3,18836_0,18849_0,19697_0
4,26801_0,18847_0,18843_0
5,19667_0,26844_0,13957_0
6,13980_1,26833_0,26824_0
7,26803_0,18847_6,13974_1
8,26850_0,13961_0,18831_0
9,26795_0,13978_1,26847_0
10,26817_0,18847_8,13954_0
11,13958_0,13964_0,26805_0
12,19694_0,13971_0,19684_0
13,18827_2,13978_0,18833_0
14,13973_1,18849_1,18842_0
15,18836_1,19691_0,13974_0
16,18848_6,18847_9,
17,26835_0,26809_0,
18,26834_0,18841_0,
19,18852_0,13979_0,
20,13952_1,26846_0,
21,19674_0,13983_0,
22,13958_3,18847_4,
23,18827_0,26802_0,
24,13958_1,26838_0,
25,18848_1,18849_2,
26,26858_0,18847_1,
27,18848_5,13959_0,
28,26789_0,26832_0,
29,26839_0,18841_2,
30,19681_0,13983_1,
31,18840_4,18847_10,
32,18840_3,18847_5,
33,26806_0,13961_1,
34,26816_0,13966_0,
35,13973_0,26815_0,
36,19693_0,19677_0,
37,13977_1,19690_0,
38,18832_0,19700_0,
39,26828_0,26794_0,
40,26822_0,13983_3,
41,19685_0,19698_0,
42,13965_2,18841_1,
43,26851_0,19695_0,
44,26855_0,26798_0,
45,13962_0,18847_7,
46,13981_1,13983_2,
47,26826_0,18847_2,
48,26821_0,26804_0,
49,13977_0,19676_0,
50,19672_0,13972_0,
51,18845_0,26800_0,
52,13963_0,13960_0,
53,13955_0,19692_0,
54,18848_4,18839_0,
55,19675_0,18851_0,
56,19689_0,18847_3,
57,13953_0,26793_0,
58,26825_0,13972_1,
59,26814_0,,
60,18844_0,,
61,18846_0,,
62,13976_0,,
63,18848_3,,
64,26853_0,,
65,18840_1,,
66,18835_0,,
67,26811_0,,
68,13975_0,,
69,26831_0,,
70,18848_2,,
71,26842_0,,
72,26841_0,,
73,18840_5,,
74,13965_0,,
75,26790_0,,
76,18829_0,,
77,13953_1,,
78,18840_2,,
79,26849_0,,
80,26845_0,,
81,26788_0,,
82,26823_0,,
83,26813_0,,
84,13952_0,,
85,26829_0,,
86,13962_1,,
87,13965_1,,
88,18827_1,,
89,13981_0,,
90,13958_2,,
91,26808_0,,
92,26820_0,,
93,18830_0,,
94,18848_0,,
95,13973_2,,
96,26857_0,,
97,13977_2,,
98,19680_0,,
99,26799_0,,
100,13980_2,,
101,18834_0,,
102,18840_0,,
103,19678_0,,
104,18838_0,,
105,26810_0,,
106,26859_0,,
107,26797_0,,
