,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9583333333333334,0.738,0.9285714285714286,0.7538461538461538
1,1,0.9107142857142857,0.44805194805194803,0.7333333333333334,0.43999999999999995
2,2,0.5648148148148148,0.4662756598240469,0.4285714285714286,0.4528301886792453
3,3,0.6388888888888888,0.5827067669172933,0.6,0.6170212765957447
4,4,0.8,0.5410628019323671,0.6875,0.52
5,5,0.28888888888888886,0.6990950226244345,0.368421052631579,0.6744186046511628
6,6,0.746031746031746,0.5692307692307692,0.625,0.576271186440678
7,7,0.8333333333333334,0.4545454545454546,0.8,0.5689655172413793
8,8,0.7638888888888888,0.6298076923076923,0.7307692307692308,0.54
9,9,0.858974358974359,0.6486486486486486,0.7894736842105263,0.5652173913043479
