,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9375,0.737,0.9285714285714286,0.7538461538461538
1,1,0.9285714285714286,0.4529220779220779,0.6666666666666667,0.43999999999999995
2,2,0.5277777777777778,0.4560117302052786,0.38095238095238093,0.4528301886792453
3,3,0.6157407407407407,0.5620300751879699,0.6,0.574468085106383
4,4,0.8,0.5426731078904992,0.6875,0.54
5,5,0.2888888888888889,0.7194570135746607,0.368421052631579,0.7209302325581395
6,6,0.7301587301587302,0.5743589743589744,0.625,0.5932203389830508
7,7,0.8333333333333334,0.45202020202020204,0.7333333333333334,0.5517241379310345
8,8,0.7638888888888888,0.6378205128205129,0.7307692307692308,0.56
9,9,0.8717948717948718,0.6570945945945946,0.736842105263158,0.5797101449275363
