,train,val,test
0,26807_0,13980_0,19669_0
1,26791_0,26787_0,26850_0
2,26848_0,26801_0,13952_1
3,18849_0,13980_1,13957_0
4,18843_1,26803_0,26846_0
5,26843_0,26844_0,13959_0
6,18836_0,13958_0,26816_0
7,19667_0,13978_1,26841_0
8,18847_0,13971_0,19700_0
9,26795_0,13978_0,18829_0
10,26817_0,13958_3,26845_0
11,18837_0,13958_1,13952_0
12,19694_0,26802_0,18830_0
13,18827_2,26824_0,18834_0
14,13973_1,26839_0,13960_0
15,18836_1,19681_0,
16,26833_0,19693_0,
17,18848_6,26832_0,
18,26835_0,13977_1,
19,18847_6,18832_0,
20,13961_0,26828_0,
21,18847_8,13981_1,
22,13964_0,13977_0,
23,18849_1,13974_1,
24,19697_0,19689_0,
25,26834_0,13966_0,
26,19691_0,26814_0,
27,18852_0,26853_0,
28,18847_9,26811_0,
29,19674_0,13975_0,
30,26809_0,26831_0,
31,18841_0,26842_0,
32,18843_0,26794_0,
33,13979_0,26823_0,
34,18827_0,26798_0,
35,13983_0,13981_0,
36,18847_4,13958_2,
37,18848_1,26808_0,
38,26858_0,26820_0,
39,26838_0,18842_0,
40,18848_5,13974_0,
41,26789_0,26857_0,
42,18849_2,13977_2,
43,18847_1,13980_2,
44,18840_4,13972_0,
45,18840_3,19678_0,
46,26806_0,19692_0,
47,13973_0,18839_0,
48,18841_2,26793_0,
49,13983_1,13972_1,
50,26822_0,,
51,19685_0,,
52,13965_2,,
53,26851_0,,
54,26855_0,,
55,18847_10,,
56,18847_5,,
57,13962_0,,
58,26826_0,,
59,26821_0,,
60,19672_0,,
61,13961_1,,
62,18845_0,,
63,18831_0,,
64,13963_0,,
65,26847_0,,
66,13955_0,,
67,18848_4,,
68,19675_0,,
69,13954_0,,
70,13953_0,,
71,26825_0,,
72,26805_0,,
73,26815_0,,
74,18844_0,,
75,18846_0,,
76,13976_0,,
77,18848_3,,
78,18840_1,,
79,18835_0,,
80,19677_0,,
81,19690_0,,
82,18848_2,,
83,19684_0,,
84,18840_5,,
85,13965_0,,
86,26790_0,,
87,13953_1,,
88,18840_2,,
89,26849_0,,
90,13983_3,,
91,19698_0,,
92,26788_0,,
93,18833_0,,
94,18841_1,,
95,26813_0,,
96,26829_0,,
97,19695_0,,
98,13962_1,,
99,18847_7,,
100,13965_1,,
101,18827_1,,
102,13983_2,,
103,18847_2,,
104,18848_0,,
105,13973_2,,
106,19680_0,,
107,26799_0,,
108,26804_0,,
109,19676_0,,
110,18840_0,,
111,26800_0,,
112,18838_0,,
113,26810_0,,
114,26859_0,,
115,18851_0,,
116,18847_3,,
117,26797_0,,
