,train,val,test
0,26807_0,26801_0,13978_1
1,26791_0,19667_0,13964_0
2,13980_0,18847_0,13978_0
3,19669_0,26803_0,13954_0
4,26848_0,26850_0,26805_0
5,18849_0,18827_2,18844_0
6,26787_0,26835_0,26853_0
7,18843_1,18847_6,18835_0
8,26843_0,18847_8,19684_0
9,18836_0,19691_0,19695_0
10,13980_1,18847_9,26798_0
11,26844_0,26809_0,19680_0
12,26795_0,18827_0,26799_0
13,26817_0,18847_4,18838_0
14,18837_0,26802_0,18839_0
15,13958_0,26838_0,
16,19694_0,26839_0,
17,13973_1,18847_1,
18,18836_1,26806_0,
19,26833_0,26816_0,
20,18848_6,13977_1,
21,13961_0,13965_2,
22,13971_0,18847_10,
23,18849_1,18847_5,
24,19697_0,13962_0,
25,26834_0,13981_1,
26,18852_0,13977_0,
27,13952_1,13974_1,
28,19674_0,18845_0,
29,18841_0,18831_0,
30,18843_0,26847_0,
31,13979_0,13966_0,
32,13957_0,26825_0,
33,26846_0,13976_0,
34,13958_3,26811_0,
35,13983_0,13975_0,
36,13958_1,19677_0,
37,18848_1,19690_0,
38,26858_0,13965_0,
39,18848_5,18829_0,
40,26789_0,26845_0,
41,18849_2,26813_0,
42,26824_0,26829_0,
43,19681_0,13962_1,
44,18840_4,18847_7,
45,18840_3,13965_1,
46,13959_0,18827_1,
47,13973_0,13981_0,
48,19693_0,26808_0,
49,26832_0,18847_2,
50,18841_2,13974_0,
51,18832_0,18830_0,
52,13983_1,13977_2,
53,26828_0,13960_0,
54,26822_0,26859_0,
55,19685_0,19692_0,
56,26851_0,18847_3,
57,26855_0,26793_0,
58,26826_0,,
59,26821_0,,
60,19672_0,,
61,13961_1,,
62,13963_0,,
63,13955_0,,
64,18848_4,,
65,19675_0,,
66,19689_0,,
67,13953_0,,
68,26814_0,,
69,26815_0,,
70,18846_0,,
71,18848_3,,
72,18840_1,,
73,26831_0,,
74,18848_2,,
75,26842_0,,
76,26841_0,,
77,19700_0,,
78,18840_5,,
79,26794_0,,
80,26790_0,,
81,13953_1,,
82,18840_2,,
83,26849_0,,
84,13983_3,,
85,19698_0,,
86,26788_0,,
87,26823_0,,
88,18833_0,,
89,18841_1,,
90,13952_0,,
91,13958_2,,
92,26820_0,,
93,13983_2,,
94,18842_0,,
95,18848_0,,
96,13973_2,,
97,26857_0,,
98,26804_0,,
99,19676_0,,
100,13980_2,,
101,18834_0,,
102,18840_0,,
103,13972_0,,
104,19678_0,,
105,26800_0,,
106,26810_0,,
107,18851_0,,
108,13972_1,,
109,26797_0,,
