,train,val,test
0,26791_0,26848_0,26807_0
1,13980_0,26833_0,18848_6
2,19669_0,19674_0,19697_0
3,18849_0,18840_4,13979_0
4,26787_0,18840_3,18848_1
5,18843_1,13963_0,18848_5
6,26843_0,19675_0,26828_0
7,18836_0,13954_0,26855_0
8,26801_0,26814_0,13962_0
9,19667_0,18840_1,18831_0
10,13980_1,19677_0,13955_0
11,18847_0,18840_5,18848_4
12,26803_0,26790_0,13966_0
13,26850_0,18840_2,13953_0
14,26844_0,26823_0,26815_0
15,26795_0,18842_0,18848_3
16,26817_0,19680_0,18835_0
17,18837_0,26804_0,26811_0
18,13958_0,18840_0,18848_2
19,19694_0,13972_0,26794_0
20,18827_2,26800_0,13953_1
21,13973_1,26859_0,26849_0
22,18836_1,19692_0,26788_0
23,26835_0,18839_0,18833_0
24,18847_6,26793_0,26798_0
25,13961_0,13972_1,13962_1
26,13978_1,,18830_0
27,18847_8,,18848_0
28,13964_0,,
29,13971_0,,
30,13978_0,,
31,18849_1,,
32,26834_0,,
33,19691_0,,
34,18852_0,,
35,13952_1,,
36,18847_9,,
37,26809_0,,
38,18841_0,,
39,18843_0,,
40,13957_0,,
41,26846_0,,
42,13958_3,,
43,18827_0,,
44,13983_0,,
45,13958_1,,
46,18847_4,,
47,26858_0,,
48,26802_0,,
49,26838_0,,
50,26789_0,,
51,18849_2,,
52,26824_0,,
53,26839_0,,
54,19681_0,,
55,18847_1,,
56,13959_0,,
57,26806_0,,
58,26816_0,,
59,13973_0,,
60,19693_0,,
61,26832_0,,
62,13977_1,,
63,18841_2,,
64,18832_0,,
65,13983_1,,
66,26822_0,,
67,19685_0,,
68,13965_2,,
69,26851_0,,
70,18847_10,,
71,18847_5,,
72,13981_1,,
73,26826_0,,
74,26821_0,,
75,13977_0,,
76,13974_1,,
77,19672_0,,
78,13961_1,,
79,18845_0,,
80,26847_0,,
81,19689_0,,
82,26825_0,,
83,26805_0,,
84,18844_0,,
85,18846_0,,
86,13976_0,,
87,26853_0,,
88,13975_0,,
89,19690_0,,
90,26831_0,,
91,26842_0,,
92,26841_0,,
93,19684_0,,
94,19700_0,,
95,13965_0,,
96,18829_0,,
97,13983_3,,
98,26845_0,,
99,19698_0,,
100,18841_1,,
101,26813_0,,
102,13952_0,,
103,26829_0,,
104,19695_0,,
105,18847_7,,
106,13965_1,,
107,18827_1,,
108,13981_0,,
109,13958_2,,
110,26808_0,,
111,26820_0,,
112,13983_2,,
113,18847_2,,
114,13974_0,,
115,13973_2,,
116,26857_0,,
117,13977_2,,
118,26799_0,,
119,19676_0,,
120,13980_2,,
121,18834_0,,
122,19678_0,,
123,13960_0,,
124,18838_0,,
125,26810_0,,
126,18851_0,,
127,18847_3,,
128,26797_0,,
