,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.7013888888888888,0.6791666666666667,0.625,0.5806451612903225
1,1,0.8214285714285714,0.5,0.6444444444444444,0.4
2,2,0.563076923076923,0.9142857142857143,0.631578947368421,0.7916666666666666
3,3,0.6363636363636364,0.873015873015873,0.5,0.8333333333333334
4,4,0.48437499999999994,0.803921568627451,0.4642857142857143,0.6923076923076923
5,5,0.7757575757575758,0.7678571428571428,0.5769230769230769,0.6538461538461539
6,6,0.487012987012987,0.8064516129032258,0.52,0.7380952380952381
7,7,0.85,0.7569444444444445,0.59375,0.6666666666666667
8,8,0.643939393939394,0.5611111111111111,0.5217391304347826,0.5
9,9,0.6049382716049383,0.7345537757437071,0.5185185185185186,0.7619047619047619
