,train,val,test
0,26807_0,26801_0,26791_0
1,13980_0,26850_0,26843_0
2,19669_0,26844_0,18841_0
3,26848_0,18837_0,26846_0
4,18849_0,19694_0,18841_2
5,26787_0,26833_0,19685_0
6,18843_1,13971_0,13965_2
7,18836_0,26834_0,26821_0
8,19667_0,19691_0,18831_0
9,13980_1,13983_0,13953_0
10,18847_0,26838_0,26805_0
11,26803_0,26839_0,13965_0
12,26795_0,26806_0,13953_1
13,26817_0,26816_0,18841_1
14,13958_0,19693_0,13965_1
15,18827_2,13983_1,26808_0
16,13973_1,26828_0,26857_0
17,18836_1,26826_0,18834_0
18,18848_6,13963_0,26797_0
19,26835_0,26847_0,
20,18847_6,13955_0,
21,13961_0,13954_0,
22,13978_1,26814_0,
23,18847_8,13976_0,
24,13964_0,26853_0,
25,13978_0,26811_0,
26,18849_1,13975_0,
27,19697_0,19690_0,
28,18852_0,26841_0,
29,13952_1,18829_0,
30,18847_9,26849_0,
31,19674_0,13983_3,
32,26809_0,26845_0,
33,18843_0,19695_0,
34,13979_0,13983_2,
35,13957_0,13972_0,
36,13958_3,19678_0,
37,18827_0,26800_0,
38,13958_1,13960_0,
39,18847_4,26859_0,
40,18848_1,18839_0,
41,26858_0,18851_0,
42,26802_0,13972_1,
43,18848_5,,
44,26789_0,,
45,18849_2,,
46,26824_0,,
47,19681_0,,
48,18847_1,,
49,18840_4,,
50,18840_3,,
51,13959_0,,
52,13973_0,,
53,26832_0,,
54,13977_1,,
55,18832_0,,
56,26822_0,,
57,26851_0,,
58,26855_0,,
59,18847_10,,
60,18847_5,,
61,13962_0,,
62,13981_1,,
63,13977_0,,
64,13974_1,,
65,19672_0,,
66,13961_1,,
67,18845_0,,
68,18848_4,,
69,19675_0,,
70,19689_0,,
71,13966_0,,
72,26825_0,,
73,26815_0,,
74,18844_0,,
75,18846_0,,
76,18848_3,,
77,18840_1,,
78,18835_0,,
79,19677_0,,
80,26831_0,,
81,18848_2,,
82,26842_0,,
83,19684_0,,
84,19700_0,,
85,18840_5,,
86,26794_0,,
87,26790_0,,
88,18840_2,,
89,19698_0,,
90,26788_0,,
91,26823_0,,
92,18833_0,,
93,26813_0,,
94,13952_0,,
95,26829_0,,
96,26798_0,,
97,13962_1,,
98,18847_7,,
99,18827_1,,
100,13981_0,,
101,13958_2,,
102,26820_0,,
103,18842_0,,
104,18847_2,,
105,13974_0,,
106,18830_0,,
107,18848_0,,
108,13973_2,,
109,13977_2,,
110,19680_0,,
111,26799_0,,
112,26804_0,,
113,19676_0,,
114,13980_2,,
115,18840_0,,
116,18838_0,,
117,26810_0,,
118,19692_0,,
119,18847_3,,
120,26793_0,,
