,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.9375,0.784,0.9285714285714286,0.7692307692307692
1,1,0.875,0.564935064935065,0.8666666666666667,0.5800000000000001
2,2,0.5277777777777778,0.49853372434017595,0.47619047619047616,0.4339622641509434
3,3,0.7175925925925926,0.6823308270676691,0.6666666666666667,0.6595744680851063
4,4,0.8666666666666667,0.568438003220612,0.625,0.52
5,5,0.39999999999999997,0.7873303167420815,0.4736842105263158,0.6046511627906976
6,6,0.7619047619047619,0.785897435897436,0.5625,0.7457627118644068
7,7,0.8703703703703705,0.5845959595959596,0.6666666666666667,0.603448275862069
8,8,0.826388888888889,0.7131410256410257,0.8076923076923077,0.62
9,9,0.8717948717948718,0.722972972972973,0.7894736842105263,0.6376811594202898
