,train,val,test
0,26807_0,13980_0,26803_0
1,26791_0,13980_1,26850_0
2,19669_0,13958_0,26844_0
3,26848_0,26833_0,26789_0
4,18849_0,26809_0,18832_0
5,26787_0,13958_3,26826_0
6,18843_1,13983_0,18831_0
7,26843_0,13958_1,19675_0
8,18836_0,13959_0,26814_0
9,26801_0,26816_0,26813_0
10,19667_0,13983_1,19695_0
11,18847_0,13974_1,19680_0
12,26795_0,19689_0,19678_0
13,26817_0,26794_0,13960_0
14,18837_0,13983_3,
15,19694_0,18833_0,
16,18827_2,13958_2,
17,13973_1,13983_2,
18,18836_1,13974_0,
19,18848_6,13980_2,
20,26835_0,13972_0,
21,18847_6,26810_0,
22,13961_0,13972_1,
23,13978_1,26797_0,
24,18847_8,,
25,13964_0,,
26,13971_0,,
27,13978_0,,
28,18849_1,,
29,19697_0,,
30,26834_0,,
31,19691_0,,
32,18852_0,,
33,13952_1,,
34,18847_9,,
35,19674_0,,
36,18841_0,,
37,18843_0,,
38,13979_0,,
39,13957_0,,
40,26846_0,,
41,18827_0,,
42,18847_4,,
43,18848_1,,
44,26858_0,,
45,26802_0,,
46,26838_0,,
47,18848_5,,
48,18849_2,,
49,26824_0,,
50,26839_0,,
51,19681_0,,
52,18847_1,,
53,18840_4,,
54,18840_3,,
55,26806_0,,
56,13973_0,,
57,19693_0,,
58,26832_0,,
59,13977_1,,
60,18841_2,,
61,26828_0,,
62,26822_0,,
63,19685_0,,
64,13965_2,,
65,26851_0,,
66,26855_0,,
67,18847_10,,
68,18847_5,,
69,13962_0,,
70,13981_1,,
71,26821_0,,
72,13977_0,,
73,19672_0,,
74,13961_1,,
75,18845_0,,
76,13963_0,,
77,26847_0,,
78,13955_0,,
79,18848_4,,
80,13954_0,,
81,13966_0,,
82,13953_0,,
83,26825_0,,
84,26805_0,,
85,26815_0,,
86,18844_0,,
87,18846_0,,
88,13976_0,,
89,18848_3,,
90,26853_0,,
91,18840_1,,
92,18835_0,,
93,26811_0,,
94,13975_0,,
95,19677_0,,
96,19690_0,,
97,26831_0,,
98,18848_2,,
99,26842_0,,
100,26841_0,,
101,19684_0,,
102,19700_0,,
103,18840_5,,
104,13965_0,,
105,26790_0,,
106,18829_0,,
107,13953_1,,
108,18840_2,,
109,26849_0,,
110,26845_0,,
111,19698_0,,
112,26788_0,,
113,26823_0,,
114,18841_1,,
115,13952_0,,
116,26829_0,,
117,26798_0,,
118,13962_1,,
119,18847_7,,
120,13965_1,,
121,18827_1,,
122,13981_0,,
123,26808_0,,
124,26820_0,,
125,18842_0,,
126,18847_2,,
127,18830_0,,
128,18848_0,,
129,13973_2,,
130,26857_0,,
131,13977_2,,
132,26799_0,,
133,26804_0,,
134,19676_0,,
135,18834_0,,
136,18840_0,,
137,26800_0,,
138,18838_0,,
139,26859_0,,
140,19692_0,,
141,18839_0,,
142,18851_0,,
143,18847_3,,
144,26793_0,,
