,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8981481481481481,0.7037037037037037,0.7916666666666666,0.6666666666666667
1,1,0.5222222222222223,0.44444444444444453,0.4736842105263158,0.4545454545454546
2,2,0.921875,0.8030303030303031,0.75,0.8235294117647058
3,3,0.65625,0.5416666666666667,0.6875,0.65
4,4,0.775,0.7,0.6666666666666667,0.75
5,5,0.6388888888888888,0.9473684210526316,0.7647058823529411,0.9
6,6,0.75,0.6571428571428571,0.7142857142857143,0.5833333333333333
7,7,0.922077922077922,0.62,0.8333333333333334,0.55
8,8,0.8333333333333333,0.4833333333333334,0.7142857142857143,0.375
9,9,0.5432098765432098,0.875,0.4444444444444444,0.7777777777777778
