,train,val,test
0,1375314A01#3_1,1394250C01#2_12,1549818A01#20_3
1,1375314A02#3_2,1394250C02#2_13,1549818A02#20_4
2,1375314A03#3_3,1394250C03#2_14,1549818A03#20_5
3,1375314A04#3_4,1394250C04#2_15,1549818A04#20_6
4,1375314A05#3_5,1394250C05#2_16,1549818A05#20_7
5,1375314A06#3_6,1394250C06#2_17,1549818A06#20_8
6,1375314A07#3_7,1394250C07#2_18,1561277B01#2_1
7,1375314A08#3_8,1394250C08#2_19,1561277B02#2_2
8,1386008A01#3_9,1549139A01#19_18,1561277B03#2_3
9,1386008A02#3_10,1549139A02#19_19,1561277B04#2_4
10,1386008A03#3_11,1549139A03#19_20,1561277B05#2_5
11,1386008A04#3_12,1549139A04#20_1,X127179A01#3_9
12,1386008A05#3_13,1549139A05#20_2,X127179A02#3_10
13,1386008A06#3_14,X179852A01#5_19,X127179A03#3_11
14,1386008A07#3_15,X179852A02#5_20,X127179A04#3_12
15,1386008A08#3_16,X179852A03#6_1,X127179A05#3_13
16,1386008A09#3_17,X179852A04#6_2,X127179A06#3_14
17,1386008A10#3_18,X179852A05#6_3,X209790A01#8_11
18,1390316A01#3_19,X179852A06#6_4,X209790A02#8_12
19,1390316A02#3_20,X207531C01#7_11,X209790A03#8_13
20,1390316A03#2_1,X207531C02#7_12,X209790A04#8_14
21,1394025A01#2_2,X207531C03#7_13,X209790A05#8_15
22,1394025A02#2_3,X207531C04#7_14,X209790A06#8_16
23,1394025A03#2_4,X207531C05#7_15,X209790A07#8_17
24,1394025A04#2_5,X207531C06#7_16,X209790A08#8_18
25,1394025A05#2_6,X207531C07#7_17,X209790A09#8_19
26,1394025A06#2_7,X207531C08#7_18,X209790A10#8_20
27,1394025A07#2_8,X207531C09#7_19,X209790A11#9_1
28,1394025A08#2_9,X207531C10#7_20,X209790A12#9_2
29,1394025A09#2_10,X207531C11#8_1,
30,1394025A10#2_11,X207531C12#8_2,
31,1394931A01#2_20,X207531C13#8_3,
32,1394931A02#1_1,X207531C14#8_4,
33,1394931A03#1_2,X207531C15#8_5,
34,1394931A04#1_3,X207531C16#8_6,
35,1396455B01#1_4,X207531C17#8_7,
36,1396455B02#1_5,X207531C18#8_8,
37,1396455B02#1_6,X207531C19#8_9,
38,1396455B03#1_7,X207531C20#8_10,
39,1396455B04#1_8,,
40,1396455B05#1_9,,
41,1396455B06#1_10,,
42,1412190C01,,
43,1412190C02,,
44,1412190C03,,
45,1412190C04,,
46,1412190C05,,
47,1412190C06,,
48,1412190C07,,
49,1412190C08,,
50,1420083A01#18_2,,
51,1420083A02#18_3,,
52,1420083A03#18_4,,
53,1420083A04#18_5,,
54,1420083A05#18_6,,
55,1420083A06#18_7,,
56,1420083A07#18_8,,
57,1420083A08#18_9,,
