,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8625,0.03125,0.75,0.4666666666666667
1,1,0.41964285714285715,0.1294642857142857,0.6333333333333333,0.3666666666666667
2,2,0.738095238095238,0.423469387755102,0.46341463414634143,0.5
3,3,0.6818181818181819,0.4375,0.4722222222222222,0.4642857142857143
4,4,0.5833333333333333,0.5766666666666667,0.5428571428571429,0.7027027027027026
5,5,0.8578431372549019,0.3357142857142857,0.8275862068965517,0.375
6,6,0.3476190476190476,0.26111111111111107,0.3448275862068966,0.5555555555555556
7,7,0.6919191919191919,0.12130177514792902,0.5862068965517242,0.15384615384615385
8,8,0.4336734693877551,0.7732426303854876,0.5,0.7380952380952381
9,9,0.9821428571428571,0.72,0.6333333333333333,0.625
