,train,val,test
0,1375314A01#3_1,1412190C01,1420083A01#18_2
1,1375314A02#3_2,1412190C02,1420083A02#18_3
2,1375314A03#3_3,1412190C03,1420083A03#18_4
3,1375314A04#3_4,1412190C04,1420083A04#18_5
4,1375314A05#3_5,1412190C05,1420083A05#18_6
5,1375314A06#3_6,1412190C06,1420083A06#18_7
6,1375314A07#3_7,1412190C07,1420083A07#18_8
7,1375314A08#3_8,1412190C08,1420083A08#18_9
8,1386008A01#3_9,X172464A01#5_11,1420083A09#18_10
9,1386008A02#3_10,X172464A02#5_12,1420083A10#18_11
10,1386008A03#3_11,X172464A03#5_13,1520691A01#6_16
11,1386008A04#3_12,X172464A04#5_14,1520691A02#6_17
12,1386008A05#3_13,X172464A05#5_15,1520691A03#6_18
13,1386008A06#3_14,X172464A06#5_16,1520691A04#6_19
14,1386008A07#3_15,X172464A07#5_17,1520691A05#6_20
15,1386008A08#3_16,X172464A08#5_18,1520691A06#19_1
16,1386008A09#3_17,X179852A01#5_19,1526644A01#19_2
17,1386008A10#3_18,X179852A02#5_20,1526644A02#19_3
18,1390316A01#3_19,X179852A03#6_1,1526644A03#19_4
19,1390316A02#3_20,X179852A04#6_2,1526644A04#19_5
20,1390316A03#2_1,X179852A05#6_3,1526644A05#19_6
21,1394025A01#2_2,X179852A06#6_4,1526644A06#19_7
22,1394025A02#2_3,X227639A01#10_15,1526644A07#19_8
23,1394025A03#2_4,X227639A02#10_16,1526644A08#19_9
24,1394025A04#2_5,X227639A03#10_17,X127179A01#3_9
25,1394025A05#2_6,X227639A04#10_18,X127179A02#3_10
26,1394025A06#2_7,X227639A05#10_19,X127179A03#3_11
27,1394025A07#2_8,X227639A06#10_20,X127179A04#3_12
28,1394025A08#2_9,X227639A07#11_1,X127179A05#3_13
29,1394025A09#2_10,X227639A08#11_2,X127179A06#3_14
30,1394025A10#2_11,,
31,1394250C01#2_12,,
32,1394250C02#2_13,,
33,1394250C03#2_14,,
34,1394250C04#2_15,,
35,1394250C05#2_16,,
36,1394250C06#2_17,,
37,1394250C07#2_18,,
38,1394250C08#2_19,,
39,1394931A01#2_20,,
40,1394931A02#1_1,,
41,1394931A03#1_2,,
42,1394931A04#1_3,,
43,1396455B01#1_4,,
44,1396455B02#1_5,,
45,1396455B02#1_6,,
46,1396455B03#1_7,,
47,1396455B04#1_8,,
48,1396455B05#1_9,,
49,1396455B06#1_10,,
50,1430290A01#18_15,,
51,1430290A02#18_16,,
52,1430290A03#18_17,,
53,1433261A01#18_18,,
54,1433261A02,,
55,1433261A03#18_20,,
56,1433261A04#17_1,,
57,1433261A05#17_2,,
58,1438435B01#17_3,,
59,1438435B02#17_4,,
60,1445057B01#17_5,,
61,1445057B02#17_6,,
62,1445057B03#17_7,,
63,1445057B04#17_8,,
64,1457991C01#17_18,,
65,1457991C02#17_19,,
66,1457991C03#17_20,,
67,1457991C04#16_1,,
68,1457991C05#16_2,,
69,1457991D01#16_3,,
70,1457991D02#16_4,,
71,1459142A01#16_5,,
72,1459142A02#16_6,,
73,1459142A03#16_7,,
74,1459142A04#16_8,,
75,1459142A05#16_9,,
76,1459142A06#16_10,,
77,1459142A07#16_11,,
78,1459142A08#16_12,,
79,1459142A09#16_13,,
80,1459142A10#16_14,,
81,1459142A11#16_15,,
82,1459142A12#16_16,,
83,1460108A01#16_17,,
84,1460108A02#16_18,,
85,1460108A03#16_19,,
86,1460108A04#16_20,,
87,1460108A05#4_1,,
88,1460108A06#4_2,,
89,1460108A07,,
90,1460108A08,,
91,1463717B01#4_5,,
92,1463717B02#4_6,,
93,1463717B03#4_7,,
94,1463717B04#4_8,,
95,1463717B05#4_9,,
96,1463717B06#4_10,,
97,1463717B07#4_11,,
98,1463717B08#4_12,,
99,1463717B09#4_13,,
100,1463717B10#4_14,,
101,1482921A01#4_15,,
102,1482921A02#4_16,,
103,1482921A03#4_17,,
104,1482921A04#4_18,,
105,1482921A05#4_19,,
106,1482921A06#4_20,,
107,1482921A07#5_1,,
108,1491815A01#5_8,,
109,1491815A02#5_9,,
110,1491815A03#5_10,,
111,1491815A04#5_11,,
112,1491815A05#5_12,,
113,1491815A06#5_13,,
114,1491815A07#5_14,,
115,1491815A08#5_15,,
116,1493667A02#5_16,,
117,1493667A03#5_17,,
118,1493667A04#5_18,,
119,1493667A05#5_19,,
120,1493667A06#5_20,,
121,1493667A07#6_1,,
122,1493667A08#6_2,,
123,1494509A01#6_3,,
124,1494509A02#6_4,,
125,1494509A03#6_5,,
126,1494509A04#6_6,,
127,1494509A05#6_7,,
128,1494509A06#6_8,,
129,1494509A07#6_9,,
130,1502032A01,,
131,1502032A02#6_11,,
132,1502032A03#6_12,,
133,1502032A04#6_13,,
134,1502032A05#6_14,,
135,1502032A06,,
136,1544136A01#19_10,,
137,1544136A02#19_11,,
138,1544136A03#19_12,,
139,1544136A04#19_13,,
140,1544136A05#19_14,,
141,1544136A06#19_15,,
142,1544136A07#19_16,,
143,1544136A08#19_17,,
144,1549139A01#19_18,,
145,1549139A02#19_19,,
146,1549139A03#19_20,,
147,1549139A04#20_1,,
148,1549139A05#20_2,,
149,1549818A01#20_3,,
150,1549818A02#20_4,,
151,1549818A03#20_5,,
