,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.675,0.2857142857142857,0.6875,0.33333333333333337
1,1,0.4866071428571429,0.6875,0.5,0.4666666666666667
2,2,0.5714285714285714,0.8469387755102041,0.46341463414634143,0.75
3,3,0.8571428571428571,0.5677083333333334,0.75,0.6071428571428572
4,4,0.09999999999999999,0.8566666666666667,0.5142857142857142,0.5405405405405406
5,5,0.7843137254901961,0.3428571428571429,0.4137931034482759,0.25
6,6,0.657142857142857,0.3611111111111111,0.48275862068965514,0.5555555555555556
7,7,0.46464646464646464,0.3076923076923077,0.5172413793103448,0.5641025641025641
8,8,0.39795918367346933,0.6575963718820861,0.3928571428571429,0.5952380952380952
9,9,0.7723214285714286,0.575,0.7333333333333334,0.55
