,train,val,test
morph_13952_1,True,False,False
morph_13952_0,True,False,False
morph_13958_0,True,False,False
morph_13958_3,True,False,False
morph_13958_1,True,False,False
morph_13958_2,True,False,False
morph_13959_0,True,False,False
morph_13960_0,True,False,False
morph_13961_0,True,False,False
morph_13961_1,True,False,False
morph_13962_0,True,False,False
morph_13962_1,True,False,False
morph_13963_0,True,False,False
morph_13965_2,True,False,False
morph_13965_0,True,False,False
morph_13965_1,True,False,False
morph_13971_0,True,False,False
morph_13974_1,True,False,False
morph_13974_0,True,False,False
morph_13975_0,True,False,False
morph_13981_1,True,False,False
morph_13981_0,True,False,False
morph_18831_0,True,False,False
morph_18837_0,True,False,False
morph_18839_0,True,False,False
morph_18841_0,True,False,False
morph_18841_2,True,False,False
morph_18841_1,True,False,False
morph_18842_0,True,False,False
morph_18848_6,True,False,False
morph_18848_1,True,False,False
morph_18848_5,True,False,False
morph_18848_4,True,False,False
morph_18848_3,True,False,False
morph_18848_2,True,False,False
morph_18848_0,True,False,False
morph_18852_0,True,False,False
morph_19667_0,True,False,False
morph_19672_0,True,False,False
morph_19674_0,True,False,False
morph_19677_0,True,False,False
morph_19680_0,True,False,False
morph_19690_0,True,False,False
morph_19693_0,True,False,False
morph_19694_0,True,False,False
morph_19695_0,True,False,False
morph_19698_0,True,False,False
morph_26788_0,True,False,False
morph_26795_0,True,False,False
morph_26797_0,True,False,False
morph_26798_0,True,False,False
morph_26800_0,True,False,False
morph_26806_0,True,False,False
morph_26809_0,True,False,False
morph_26815_0,True,False,False
morph_26816_0,True,False,False
morph_26820_0,True,False,False
morph_26829_0,True,False,False
morph_26831_0,True,False,False
morph_26832_0,True,False,False
morph_26835_0,True,False,False
morph_26841_0,True,False,False
morph_26846_0,True,False,False
morph_26855_0,True,False,False
morph_26859_0,True,False,False
nanchang_1375314A01#3_1,True,False,False
nanchang_1375314A02#3_2,True,False,False
nanchang_1375314A03#3_3,True,False,False
nanchang_1375314A04#3_4,True,False,False
nanchang_1375314A05#3_5,True,False,False
nanchang_1375314A06#3_6,True,False,False
nanchang_1375314A07#3_7,True,False,False
nanchang_1375314A08#3_8,True,False,False
nanchang_1394931A01#2_20,True,False,False
nanchang_1394931A02#1_1,True,False,False
nanchang_1394931A03#1_2,True,False,False
nanchang_1394931A04#1_3,True,False,False
nanchang_1396455B01#1_4,True,False,False
nanchang_1396455B02#1_5,True,False,False
nanchang_1396455B02#1_6,True,False,False
