,train,val,test
0,morph_13952_1,morph_13963_0,morph_13975_0
1,morph_13952_0,morph_19695_0,morph_26829_0
2,morph_13959_0,morph_18841_0,morph_19672_0
3,morph_13961_0,morph_18841_2,morph_13958_0
4,morph_13961_1,morph_18841_1,morph_13958_3
5,morph_13962_0,morph_26800_0,morph_13958_1
6,morph_13962_1,morph_18837_0,morph_13958_2
7,morph_13965_2,nanchang_1459142A01#16_5,morph_13960_0
8,morph_13965_0,nanchang_1459142A02#16_6,nanchang_1526644A01#19_2
9,morph_13965_1,nanchang_1459142A03#16_7,nanchang_1526644A02#19_3
10,morph_13966_0,nanchang_1459142A04#16_8,nanchang_1526644A03#19_4
11,morph_13971_0,nanchang_1459142A05#16_9,nanchang_1526644A04#19_5
12,morph_13973_1,nanchang_1459142A06#16_10,nanchang_1526644A05#19_6
13,morph_13973_0,nanchang_1459142A07#16_11,nanchang_1526644A06#19_7
14,morph_13973_2,nanchang_1459142A08#16_12,nanchang_1526644A07#19_8
15,morph_13974_1,nanchang_1459142A09#16_13,nanchang_1526644A08#19_9
16,morph_13974_0,nanchang_1459142A10#16_14,nanchang_1430290A01#18_15
17,morph_13981_1,nanchang_1459142A11#16_15,nanchang_1430290A02#18_16
18,morph_13981_0,nanchang_1459142A12#16_16,nanchang_1430290A03#18_17
19,morph_18831_0,nanchang_X179852A01#5_19,tcga_TCGA-G8-6326
20,morph_18839_0,nanchang_X179852A02#5_20,tcga_TCGA-RQ-A6JB
21,morph_18842_0,nanchang_X179852A03#6_1,morph_26822_0
22,morph_18848_6,nanchang_X179852A04#6_2,morph_26810_0
23,morph_18848_1,nanchang_X179852A05#6_3,morph_18827_2
24,morph_18848_5,nanchang_X179852A06#6_4,morph_18827_0
25,morph_18848_4,tcga_TCGA-RQ-AAAT,morph_18827_1
26,morph_18848_3,tcga_TCGA-GS-A9TQ,morph_26790_0
27,morph_18848_2,morph_26834_0,morph_18844_0
28,morph_18848_0,morph_19685_0,morph_18840_4
29,morph_18852_0,morph_26813_0,morph_18840_3
30,morph_19667_0,morph_26833_0,morph_18840_1
31,morph_19674_0,morph_13979_0,morph_18840_5
32,morph_19677_0,morph_18834_0,morph_18840_2
33,morph_19678_0,morph_26804_0,morph_18840_0
34,morph_19680_0,morph_13976_0,morph_19692_0
35,morph_19690_0,nanchang_1394250C01#2_12,morph_26821_0
36,morph_19693_0,nanchang_1394250C02#2_13,nanchang_1420083A01#18_2
37,morph_19694_0,nanchang_1394250C03#2_14,nanchang_1420083A02#18_3
38,morph_19697_0,nanchang_1394250C04#2_15,nanchang_1420083A03#18_4
39,morph_19698_0,nanchang_1394250C05#2_16,nanchang_1420083A04#18_5
40,morph_26787_0,nanchang_1394250C06#2_17,nanchang_1420083A05#18_6
41,morph_26788_0,nanchang_1394250C07#2_18,nanchang_1420083A06#18_7
42,morph_26789_0,nanchang_1394250C08#2_19,nanchang_1420083A07#18_8
43,morph_26795_0,nanchang_X227639A01#10_15,nanchang_1420083A08#18_9
44,morph_26797_0,nanchang_X227639A02#10_16,nanchang_1420083A09#18_10
45,morph_26798_0,nanchang_X227639A03#10_17,nanchang_1420083A10#18_11
46,morph_26805_0,nanchang_X227639A04#10_18,nanchang_X150846A01#4_1
47,morph_26806_0,nanchang_X227639A05#10_19,nanchang_X150846A02#4_2
48,morph_26809_0,nanchang_X227639A06#10_20,nanchang_X150846A03#4_3
49,morph_26815_0,nanchang_X227639A07#11_1,nanchang_X150846A04#4_4
