,train,val,test
0,1375314A01#3_1,1565608A01#21_3,1544136A01#19_10
1,1375314A02#3_2,1565608A02#21_4,1544136A02#19_11
2,1375314A03#3_3,1565608A03#21_5,1544136A03#19_12
3,1375314A04#3_4,1565608A04#21_6,1544136A04#19_13
4,1375314A05#3_5,1565608A05#21_7,1544136A05#19_14
5,1375314A06#3_6,1565608A06#21_8,1544136A06#19_15
6,1375314A07#3_7,1565608A07#21_9,1544136A07#19_16
7,1375314A08#3_8,1565608A08#21_10,1544136A08#19_17
8,1390316A01#3_19,1556514A01#20_9,1459142A01#16_5
9,1390316A02#3_20,1556514A02#20_10,1459142A02#16_6
10,1390316A03#2_1,1556514A03#20_11,1459142A03#16_7
11,1394931A01#2_20,1556514A04#20_12,1459142A04#16_8
12,1394931A02#1_1,1556514A05#20_13,1459142A05#16_9
13,1394931A03#1_2,1556514A06#20_14,1459142A06#16_10
14,1394931A04#1_3,1556514A07#20_15,1459142A07#16_11
15,1396455B01#1_4,1556514A08#20_16,1459142A08#16_12
16,1396455B02#1_5,X133886A01#3_15,1459142A09#16_13
17,1396455B02#1_6,X133886A02#3_16,1459142A10#16_14
18,1396455B03#1_7,X133886A03#3_17,1459142A11#16_15
19,1396455B04#1_8,X133886A04#3_18,1459142A12#16_16
20,1396455B05#1_9,X133886A05#3_19,1549818A01#20_3
21,1396455B06#1_10,X133886A06#3_20,1549818A02#20_4
22,1430290A01#18_15,X227639A01#10_15,1549818A03#20_5
23,1430290A02#18_16,X227639A02#10_16,1549818A04#20_6
24,1430290A03#18_17,X227639A03#10_17,1549818A05#20_7
25,1433261A01#18_18,X227639A04#10_18,1549818A06#20_8
26,1433261A02,X227639A05#10_19,X155551A01#4_9
27,1433261A03#18_20,X227639A06#10_20,X155551A02#4_10
28,1433261A04#17_1,X227639A07#11_1,X155551A03#4_11
29,1433261A05#17_2,X227639A08#11_2,X155551A04#4_12
30,1438435B01#17_3,,X155551A05#4_13
31,1438435B02#17_4,,X155551A06#4_14
32,1457991C01#17_18,,
33,1457991C02#17_19,,
34,1457991C03#17_20,,
35,1457991C04#16_1,,
36,1457991C05#16_2,,
37,1457991D01#16_3,,
38,1457991D02#16_4,,
39,1493667A02#5_16,,
40,1493667A03#5_17,,
41,1493667A04#5_18,,
42,1493667A05#5_19,,
43,1493667A06#5_20,,
44,1493667A07#6_1,,
45,1493667A08#6_2,,
46,1502032A01,,
47,1502032A02#6_11,,
48,1502032A03#6_12,,
49,1502032A04#6_13,,
50,1502032A05#6_14,,
51,1502032A06,,
52,1526644A01#19_2,,
53,1526644A02#19_3,,
54,1526644A03#19_4,,
55,1526644A04#19_5,,
56,1526644A05#19_6,,
57,1526644A06#19_7,,
58,1526644A07#19_8,,
59,1526644A08#19_9,,
60,1569744A01#21_11,,
61,1569744A02#21_12,,
62,1569744A03#21_13,,
63,1569744A04#21_14,,
64,1569744A05#21_15,,
65,1569744A06#21_16,,
66,1569744A07#21_17,,
67,1569744A08#21_18,,
68,1569744A09#21_19,,
69,1569744A10#21_20,,
70,1569744A11#7_1,,
71,1569744A12#7_2,,
72,1569744A13#7_3,,
73,1569744A14#7_4,,
74,X127179A01#3_9,,
75,X127179A02#3_10,,
76,X127179A03#3_11,,
77,X127179A04#3_12,,
78,X127179A05#3_13,,
79,X127179A06#3_14,,
80,X161534A01#4_15,,
81,X161534A02#4_16,,
82,X161534A03#4_17,,
83,X161534A04#4_18,,
84,X161534A05#4_19,,
85,X161534A06#4_20,,
86,X161534A07#5_1,,
87,X161534A08#5_2,,
88,X172464A01#5_11,,
89,X172464A02#5_12,,
90,X172464A03#5_13,,
91,X172464A04#5_14,,
92,X172464A05#5_15,,
93,X172464A06#5_16,,
94,X172464A07#5_17,,
95,X172464A08#5_18,,
96,X179852A01#5_19,,
97,X179852A02#5_20,,
98,X179852A03#6_1,,
99,X179852A04#6_2,,
100,X179852A05#6_3,,
101,X179852A06#6_4,,
102,X197133A01#6_11,,
103,X197133A02#6_12,,
104,X197133A03#6_13,,
105,X197133A04#6_14,,
106,X197133A05#6_15,,
107,X197133A06#6_16,,
108,X197133A07#6_17,,
109,X197133A08#6_18,,
110,X207531C01#7_11,,
111,X207531C02#7_12,,
112,X207531C03#7_13,,
113,X207531C04#7_14,,
114,X207531C05#7_15,,
115,X207531C06#7_16,,
116,X207531C07#7_17,,
117,X207531C08#7_18,,
118,X207531C09#7_19,,
119,X207531C10#7_20,,
120,X207531C11#8_1,,
121,X207531C12#8_2,,
122,X207531C13#8_3,,
123,X207531C14#8_4,,
124,X207531C15#8_5,,
125,X207531C16#8_6,,
126,X207531C17#8_7,,
127,X207531C18#8_8,,
128,X207531C19#8_9,,
129,X207531C20#8_10,,
130,X209790A01#8_11,,
131,X209790A02#8_12,,
132,X209790A03#8_13,,
133,X209790A04#8_14,,
134,X209790A05#8_15,,
135,X209790A06#8_16,,
136,X209790A07#8_17,,
137,X209790A08#8_18,,
138,X209790A09#8_19,,
139,X209790A10#8_20,,
140,X209790A11#9_1,,
141,X209790A12#9_2,,
142,X219408A01#9_11,,
143,X219408A02#9_12,,
144,X219408A03#9_13,,
145,X219408A04#9_14,,
146,X219408A05#9_15,,
147,X219408A06#9_16,,
148,X219408A07#9_17,,
149,X219408A08#9_18,,
150,X251184A01#11_11,,
151,X251184A02#11_12,,
152,X251184A03#11_13,,
153,X251184A04#11_14,,
154,X251184A05#11_15,,
155,X251184A06#11_16,,
156,X251184A07#11_17,,
157,X251184A08#11_18,,
158,1386008A01#3_9,,
159,1386008A02#3_10,,
160,1386008A03#3_11,,
161,1386008A04#3_12,,
162,1386008A05#3_13,,
163,1386008A06#3_14,,
164,1386008A07#3_15,,
165,1386008A08#3_16,,
166,1386008A09#3_17,,
167,1386008A10#3_18,,
168,1394025A01#2_2,,
169,1394025A02#2_3,,
170,1394025A03#2_4,,
171,1394025A04#2_5,,
172,1394025A05#2_6,,
173,1394025A06#2_7,,
174,1394025A07#2_8,,
175,1394025A08#2_9,,
176,1394025A09#2_10,,
177,1394025A10#2_11,,
178,1394250C01#2_12,,
179,1394250C02#2_13,,
180,1394250C03#2_14,,
181,1394250C04#2_15,,
182,1394250C05#2_16,,
183,1394250C06#2_17,,
184,1394250C07#2_18,,
185,1394250C08#2_19,,
186,1412190C01,,
187,1412190C02,,
188,1412190C03,,
189,1412190C04,,
190,1412190C05,,
191,1412190C06,,
192,1412190C07,,
193,1412190C08,,
194,1420083A01#18_2,,
195,1420083A02#18_3,,
196,1420083A03#18_4,,
197,1420083A04#18_5,,
198,1420083A05#18_6,,
199,1420083A06#18_7,,
200,1420083A07#18_8,,
201,1420083A08#18_9,,
202,1420083A09#18_10,,
203,1420083A10#18_11,,
204,1445057B01#17_5,,
205,1445057B02#17_6,,
206,1445057B03#17_7,,
207,1445057B04#17_8,,
208,1460108A01#16_17,,
209,1460108A02#16_18,,
210,1460108A03#16_19,,
211,1460108A04#16_20,,
212,1460108A05#4_1,,
213,1460108A06#4_2,,
214,1460108A07,,
215,1460108A08,,
216,1463717B01#4_5,,
217,1463717B02#4_6,,
218,1463717B03#4_7,,
219,1463717B04#4_8,,
220,1463717B05#4_9,,
221,1463717B06#4_10,,
222,1463717B07#4_11,,
223,1463717B08#4_12,,
